tol,batch,logged_forward,backward
1e-03,51,33,15
1e-03,52,36,16
1e-03,53,34,15
1e-03,54,34,15
1e-03,55,36,15
1e-03,56,33,15
1e-03,57,36,15
1e-03,58,33,15
1e-03,59,36,16
1e-03,60,37,15
1e-03,61,32,14
1e-03,62,33,16
1e-03,63,38,21
1e-03,64,42,15
1e-03,65,37,17
1e-03,66,37,16
1e-03,67,35,14
1e-03,68,36,15
1e-03,69,37,15
1e-03,70,37,15
1e-03,71,36,14
1e-03,72,35,15
1e-03,73,37,15
1e-03,74,38,16
1e-03,75,36,17
1e-03,76,38,15
1e-03,77,36,15
1e-03,78,36,14
1e-03,79,33,16
1e-03,80,37,15
1e-03,81,33,14
1e-03,82,33,15
1e-03,83,32,14
1e-03,84,35,15
1e-03,85,33,14
1e-03,86,36,17
1e-03,87,39,15
1e-03,88,36,14
1e-03,89,35,16
1e-03,90,39,15
1e-03,91,36,15
1e-03,92,35,15
1e-03,93,37,15
1e-03,94,35,16
1e-03,95,34,14
1e-03,96,34,15
1e-03,97,32,14
1e-03,98,36,15
1e-03,99,33,15
1e-03,100,37,15
1e-02,0,20,9
1e-02,1,21,9
1e-02,2,21,9
1e-02,3,21,9
1e-02,4,21,9
1e-02,5,21,9
1e-02,6,21,9
1e-02,7,20,8
1e-02,8,25,9
1e-02,9,21,9
1e-02,10,21,9
1e-02,11,21,9
1e-02,12,22,9
1e-02,13,20,8
1e-02,14,20,9
1e-02,15,20,9
1e-02,16,21,9
1e-02,17,21,9
1e-02,18,21,9
1e-02,19,21,9
1e-02,20,21,9
1e-02,21,20,8
1e-02,22,19,9
1e-02,23,21,9
1e-02,24,22,9
1e-02,25,19,9
1e-02,26,22,9
1e-02,27,21,9
1e-02,28,19,9
1e-02,29,19,9
1e-02,30,20,9
1e-02,31,20,9
1e-02,32,20,9
1e-02,33,21,9
1e-02,34,21,9
1e-02,35,22,9
1e-02,36,26,9
1e-02,37,19,9
1e-02,38,21,9
1e-02,39,20,9
1e-02,40,21,8
1e-02,41,20,9
1e-02,42,20,9
1e-02,43,19,9
1e-02,44,21,9
1e-02,45,21,9
1e-02,46,26,9
1e-02,47,21,9
1e-02,48,19,9
1e-02,49,21,8
1e-02,50,20,9
1e-02,51,21,9
1e-02,52,21,9
1e-02,53,19,9
1e-02,54,22,9
1e-02,55,21,9
1e-02,56,22,9
1e-02,57,20,9
1e-02,58,20,9
1e-02,59,21,9
1e-02,60,20,9
1e-02,61,20,9
1e-02,62,21,9
1e-02,63,22,9
1e-02,64,21,9
1e-02,65,21,8
1e-02,66,19,9
1e-02,67,20,9
1e-02,68,21,9
1e-02,69,21,9
1e-02,70,21,9
1e-02,71,20,9
1e-02,72,21,9
1e-02,73,19,9
1e-02,74,21,9
1e-02,75,21,9
1e-02,76,20,9
1e-02,77,21,9
1e-02,78,21,8
1e-02,79,19,9
1e-02,80,19,9
1e-02,81,21,9
1e-02,82,19,9
1e-02,83,20,9
1e-02,84,21,9
1e-02,85,21,9
1e-02,86,26,9
1e-02,87,21,9
1e-02,88,21,9
1e-02,89,21,9
1e-02,90,22,9
1e-02,91,21,9
1e-02,92,20,9
1e-02,93,21,9
1e-02,94,21,9
1e-02,95,21,9
1e-02,96,20,9
1e-02,97,20,9
1e-02,98,20,9
1e-02,99,21,9
1e-02,100,26,9
1e-01,0,14,6
1e-01,1,14,6
1e-01,2,14,6
1e-01,3,14,6
1e-01,4,14,6
1e-01,5,14,6
1e-01,6,14,6
1e-01,7,14,6
1e-01,8,15,6
1e-01,9,14,6
1e-01,10,15,6
1e-01,11,14,6
1e-01,12,14,6
1e-01,13,15,6
1e-01,14,15,6
1e-01,15,14,6
1e-01,16,15,6
1e-01,17,15,6
1e-01,18,14,6
1e-01,19,14,6
1e-01,20,14,6
1e-01,21,14,6
1e-01,22,14,6
1e-01,23,14,6
1e-01,24,14,6
1e-01,25,14,6
1e-01,26,14,6
1e-01,27,14,6
1e-01,28,14,6
1e-01,29,14,6
1e-01,30,14,6
1e-01,31,15,6
1e-01,32,15,6
1e-01,33,14,6
1e-01,34,14,6
1e-01,35,19,6
1e-01,36,14,6
1e-01,37,14,6
1e-01,38,19,6
1e-01,39,15,6
1e-01,40,14,6
1e-01,41,14,6
1e-01,42,14,6
1e-01,43,14,6
1e-01,44,14,6
1e-01,45,14,6
1e-01,46,14,6
1e-01,47,14,6
1e-01,48,14,6
1e-01,49,14,6
1e-01,50,14,6
1e-01,51,15,6
1e-01,52,15,6
1e-01,53,14,6
1e-01,54,14,6
1e-01,55,14,6
1e-01,56,15,6
1e-01,57,14,6
1e-01,58,14,6
1e-01,59,14,6
1e-01,60,14,6
1e-01,61,14,6
1e-01,62,15,6
1e-01,63,15,6
1e-01,64,14,6
1e-01,65,15,6
1e-01,66,14,6
1e-01,67,14,6
1e-01,68,15,6
1e-01,69,14,6
1e-01,70,14,6
1e-01,71,15,6
1e-01,72,14,6
1e-01,73,14,6
1e-01,74,15,6
1e-01,75,15,6
1e-01,76,14,6
1e-01,77,14,6
1e-01,78,14,6
1e-01,79,15,6
1e-01,80,14,6
1e-01,81,14,6
1e-01,82,14,6
1e-01,83,14,6
1e-01,84,14,6
1e-01,85,14,6
1e-01,86,19,6
1e-01,87,14,6
1e-01,88,14,6
1e-01,89,14,6
1e-01,90,19,6
1e-01,91,14,6
1e-01,92,14,6
1e-01,93,14,6
1e-01,94,15,6
1e-01,95,14,6
1e-01,96,14,6
1e-01,97,14,6
1e-01,98,14,6
1e-01,99,14,6
1e-01,100,15,6
1e+00,0,12,6
1e+00,1,13,6
1e+00,2,13,6
1e+00,3,13,6
1e+00,4,13,6
1e+00,5,13,6
1e+00,6,13,6
1e+00,7,13,6
1e+00,8,13,6
1e+00,9,13,6
1e+00,10,13,6
1e+00,11,13,6
1e+00,12,13,6
1e+00,13,13,6
1e+00,14,13,6
1e+00,15,13,6
1e+00,16,13,6
1e+00,17,13,6
1e+00,18,13,6
1e+00,19,13,6
1e+00,20,13,6
1e+00,21,13,6
1e+00,22,13,6
1e+00,23,13,6
1e+00,24,13,6
1e+00,25,13,6
1e+00,26,13,6
1e+00,27,13,6
1e+00,28,13,6
1e+00,29,13,6
1e+00,30,13,6
1e+00,31,13,6
1e+00,32,13,6
1e+00,33,13,6
1e+00,34,13,6
1e+00,35,13,6
1e+00,36,13,6
1e+00,37,13,6
1e+00,38,13,6
1e+00,39,13,6
1e+00,40,13,6
1e+00,41,13,6
1e+00,42,13,6
1e+00,43,13,6
1e+00,44,13,6
1e+00,45,13,6
1e+00,46,13,6
1e+00,47,13,6
1e+00,48,13,6
1e+00,49,13,6
1e+00,50,13,6
1e+00,51,13,6
1e+00,52,13,6
1e+00,53,13,6
1e+00,54,13,6
1e+00,55,13,6
1e+00,56,13,6
1e+00,57,13,6
