seed,solver,adaptive,tol,n_steps,fwd_nfe,bwd_nfe,fwd_time_s,abs_err,rel_err,recon_rel,recon_ok,capped,train_tol,train_epochs,test_acc,hardware
0,midpoint,0,0.0,32,64,64,0.028848235961049795,87.35559844970703,0.0176262704602475,0.003747209906578064,1,0,0.001,5,0.9375,NVIDIA A100 80GB PCIe MIG 4g.40gb
0,midpoint,0,0.0,64,128,128,0.05705967906396836,23.39556884765625,0.004720666235462244,0.0010253686923533678,1,0,0.001,5,0.9375,NVIDIA A100 80GB PCIe MIG 4g.40gb
0,midpoint,0,0.0,128,256,256,0.1135592149803415,6.016514778137207,0.0012139887836562357,0.00031125539680942893,1,0,0.001,5,0.9375,NVIDIA A100 80GB PCIe MIG 4g.40gb
0,rk4,0,0.0,1,4,4,0.0022372599923983216,2784.450927734375,0.5618356007690741,85.63827514648438,0,0,0.001,5,0.9375,NVIDIA A100 80GB PCIe MIG 4g.40gb
0,rk4,0,0.0,2,8,8,0.004041756968945265,1043.6031494140625,0.21057415541980112,13.605047225952148,0,0,0.001,5,0.9375,NVIDIA A100 80GB PCIe MIG 4g.40gb
0,rk4,0,0.0,4,16,16,0.0076655960874632,192.4004364013672,0.03882180637377935,0.9422144293785095,0,0,0.001,5,0.9375,NVIDIA A100 80GB PCIe MIG 4g.40gb
0,rk4,0,0.0,8,32,32,0.01488558598794043,20.244667053222656,0.0040848896142953615,0.09559957683086395,0,0,0.001,5,0.9375,NVIDIA A100 80GB PCIe MIG 4g.40gb
0,rk4,0,0.0,16,64,64,0.029239355004392564,1.6511424779891968,0.0003331610612477973,0.011851556599140167,0,0,0.001,5,0.9375,NVIDIA A100 80GB PCIe MIG 4g.40gb
0,rk4,0,0.0,32,128,128,0.05820661294274032,0.267971396446228,5.407021866023586e-05,0.0012719121295958757,1,0,0.001,5,0.9375,NVIDIA A100 80GB PCIe MIG 4g.40gb
0,rk4,0,0.0,64,256,256,0.11604292690753937,0.08043468743562698,1.6229796146861463e-05,0.001106858137063682,1,0,0.001,5,0.9375,NVIDIA A100 80GB PCIe MIG 4g.40gb
0,rk4,0,0.0,128,512,512,0.23149338806979358,0.055985432118177414,1.129652118309232e-05,0.0005756464088335633,1,0,0.001,5,0.9375,NVIDIA A100 80GB PCIe MIG 4g.40gb
