seed,solver,adaptive,tol,n_steps,fwd_nfe,bwd_nfe,fwd_time_s,abs_err,rel_err,recon_rel,recon_ok,capped,train_tol,train_epochs,test_acc,hardware
3,bosh3,1,0.1,,20,53,0.025348474038764834,2076.644775390625,0.34244725101714346,2.2949020862579346,0,0,0.001,5,0.9375,NVIDIA A100 80GB PCIe MIG 3g.40gb
3,bosh3,1,0.01,,29,113,0.03769508609548211,457.18096923828125,0.07539101919997512,0.341290682554245,0,0,0.001,5,0.9375,NVIDIA A100 80GB PCIe MIG 3g.40gb
3,bosh3,1,0.001,,53,350,0.06976855907123536,63.57231521606445,0.010483335833130892,0.039565782994031906,0,0,0.001,5,0.9375,NVIDIA A100 80GB PCIe MIG 3g.40gb
3,bosh3,1,0.0001,,101,1697,0.13491373101714998,5.030770778656006,0.0008295947598086741,0.011810241267085075,0,0,0.001,5,0.9375,NVIDIA A100 80GB PCIe MIG 3g.40gb
3,bosh3,1,1e-05,,206,11042,0.2794865840114653,0.4323699176311493,7.129957490560436e-05,0.0009876536205410957,1,0,0.001,5,0.9375,NVIDIA A100 80GB PCIe MIG 3g.40gb
3,dopri5,1,0.1,,26,80,0.03115183999761939,3634.851806640625,0.5994019891074718,12.152542114257812,0,0,0.001,5,0.9375,NVIDIA A100 80GB PCIe MIG 3g.40gb
3,dopri5,1,0.01,,20,116,0.024840108002536,311.708984375,0.051402091528381655,1.9222544431686401,0,0,0.001,5,0.9375,NVIDIA A100 80GB PCIe MIG 3g.40gb
3,dopri5,1,0.001,,38,236,0.046071994001977146,28.120912551879883,0.004637253955806343,0.2112002670764923,0,0,0.001,5,0.9375,NVIDIA A100 80GB PCIe MIG 3g.40gb
3,dopri5,1,0.0001,,56,692,0.06839090900029987,5.123779296875,0.0008449322463941116,0.047414496541023254,0,0,0.001,5,0.9375,NVIDIA A100 80GB PCIe MIG 3g.40gb
3,dopri5,1,1e-05,,104,3590,0.1269588249269873,0.8943462371826172,0.00014748136706389927,0.008208041079342365,1,0,0.001,5,0.9375,NVIDIA A100 80GB PCIe MIG 3g.40gb
3,dopri8,1,0.1,,54,509,0.0721174959326163,114.19928741455078,0.018831931443774902,0.5007505416870117,0,0,0.001,5,0.9375,NVIDIA A100 80GB PCIe MIG 3g.40gb
3,dopri8,1,0.01,,67,1341,0.08940025605261326,9.720671653747559,0.0016029786727679305,0.09022771567106247,0,0,0.001,5,0.9375,NVIDIA A100 80GB PCIe MIG 3g.40gb
3,dopri8,1,0.001,,158,5774,0.20399581000674516,4.055664539337158,0.0006687957367588161,0.037764616310596466,0,0,0.001,5,0.9375,NVIDIA A100 80GB PCIe MIG 3g.40gb
3,dopri8,1,0.0001,,340,34075,0.4417407449800521,0.6102817058563232,0.00010063795936271245,0.005041239783167839,1,0,0.001,5,0.9375,NVIDIA A100 80GB PCIe MIG 3g.40gb
3,dopri8,1,1e-05,,977,194326,1.281381864915602,0.1972239762544632,3.2523043566903245e-05,0.001766486675478518,1,0,0.001,5,0.9375,NVIDIA A100 80GB PCIe MIG 3g.40gb
3,euler,0,0.0,1,1,1,0.0010587179567664862,5914.5380859375,0.9753316178904528,8.040451049804688,0,0,0.001,5,0.9375,NVIDIA A100 80GB PCIe MIG 3g.40gb
3,euler,0,0.0,2,2,2,0.0016503359656780958,5724.74365234375,0.9440337364170507,6.662685394287109,0,0,0.001,5,0.9375,NVIDIA A100 80GB PCIe MIG 3g.40gb
3,euler,0,0.0,4,4,4,0.002852071076631546,5288.16552734375,0.8720402108356973,2.1444082260131836,0,0,0.001,5,0.9375,NVIDIA A100 80GB PCIe MIG 3g.40gb
3,euler,0,0.0,8,8,8,0.005221934989094734,4456.6240234375,0.7349156021910666,0.9706005454063416,0,0,0.001,5,0.9375,NVIDIA A100 80GB PCIe MIG 3g.40gb
