model,augment_dim,seed,budget,train_tol,eval_tol,val_acc,val_loss,dense_acc,fwd_nfe_median,fwd_nfe_q1,fwd_nfe_q3,fwd_nfe_max,recon_max,recon_mean,recon_ok,elapsed_s
NODE,0,0,25,1e-06,1e-06,1.0,0.004275222107147177,0.9961666464805603,218.0,164.0,230.0,236.0,0.0009767032461240888,0.00012337775842752308,1,45.8
NODE,0,0,50,1e-06,1e-06,1.0,0.0020490314772663018,0.9955833554267883,218.0,182.0,230.0,266.0,0.001113679725676775,0.0001248390763066709,1,87.0
NODE,0,0,100,1e-06,1e-06,1.0,0.0024674610234797,0.9992499947547913,206.0,146.0,230.0,284.0,0.000876892008818686,0.00010156938515137881,1,176.3
NODE,0,0,200,1e-06,1e-06,0.9958333333333333,0.005706371245711731,0.9994166493415833,230.0,182.0,242.0,260.0,0.0012812827480956912,0.00011558113328646868,1,335.5
NODE,0,0,500,1e-06,1e-06,0.9583333333333334,0.1521176964044571,0.965666651725769,266.0,212.0,278.0,296.0,0.004233185667544603,0.0006055886042304337,1,867.4
NODE,0,0,1000,1e-06,1e-06,0.975,0.23649763564268747,0.9941666722297668,500.0,320.0,527.0,608.0,0.004047714173793793,0.0006011118530295789,1,2544.2
NODE,0,1,25,1e-06,1e-06,0.9958333333333333,0.04002113342285156,0.98458331823349,158.0,128.0,170.0,188.0,0.000995173933915794,0.00014479504898190498,1,61.5
NODE,0,1,50,1e-06,1e-06,1.0,0.0016897657498096427,0.9980833530426025,164.0,152.0,176.0,194.0,0.000925883068703115,0.00013588220463134348,1,114.2
NODE,0,1,100,1e-06,1e-06,1.0,0.00015934132291780165,0.9978333115577698,170.0,164.0,176.0,200.0,0.0008340542553924024,0.00015816092491149902,1,186.5
NODE,0,1,200,1e-06,1e-06,1.0,1.4373742790970331e-05,0.9984166622161865,182.0,176.0,188.0,212.0,0.0005309369880706072,0.00012417863763403147,1,317.0
NODE,0,1,500,1e-06,1e-06,1.0,3.27326739579803e-07,0.996999979019165,188.0,176.0,203.0,230.0,0.0009328728774562478,0.00015871664800215513,1,709.5
NODE,0,1,1000,1e-06,1e-06,1.0,1.9868213444832843e-09,0.9965833425521851,200.0,194.0,212.0,224.0,0.0011572135845199227,0.00015812688798177987,1,1406.2
NODE,0,2,25,1e-06,1e-06,0.9875,0.04305536299943924,0.9902499914169312,260.0,176.0,272.0,290.0,0.001838488387875259,0.0002162892633350566,1,51.5
NODE,0,2,50,1e-06,1e-06,0.9875,0.022936022204036514,0.9962499737739563,332.0,206.0,344.0,380.0,0.0016769454814493656,0.0002151304215658456,1,113.8
NODE,0,2,100,1e-06,1e-06,0.9958333333333333,0.016351250000298023,0.9902499914169312,350.0,236.0,368.0,446.0,0.0016168749425560236,0.00027857584063895047,1,264.6
NODE,0,2,200,1e-06,1e-06,1.0,0.02287012239297231,0.9919166564941406,374.0,236.0,389.0,470.0,0.01428292877972126,0.0013552348827943206,0,604.2
NODE,0,2,500,1e-06,1e-06,1.0,0.0005096627709766228,0.9961666464805603,398.0,254.0,434.0,470.0,0.007708958815783262,0.0004055361496284604,1,1512.2
NODE,0,2,1000,1e-06,1e-06,1.0,2.2050755433156155e-05,0.9954166412353516,398.0,245.0,413.0,458.0,0.005828519351780415,0.0008633938850834966,1,2838.7
NODE,0,3,25,1e-06,1e-06,1.0,0.029374617462356884,0.9896666407585144,254.0,182.0,272.0,302.0,0.0010950547875836492,0.00017707885126583278,1,61.3
NODE,0,3,50,1e-06,1e-06,0.9833333333333333,0.06465897125502428,0.9848333597183228,272.0,170.0,284.0,320.0,0.005027240142226219,0.0005333689623512328,1,139.9
NODE,0,3,100,1e-06,1e-06,0.9916666666666667,0.03602931648492813,0.9911666512489319,344.0,179.0,380.0,470.0,0.002331930212676525,0.00020358061010483652,1,346.0
