model,seed,epoch,eval_tol,fwd_nfe,recon_rel,recon_ok,capped
NODE,3,8,1e-07,530,0.0009032555390149355,1,0
NODE,4,1,1e-05,50,0.0004571120080072433,1,0
NODE,4,1,1e-06,92,0.00015328235167544335,1,0
NODE,4,1,1e-07,236,2.376314478169661e-05,1,0
NODE,4,2,1e-05,50,0.0006223175441846251,1,0
NODE,4,2,1e-06,92,0.0001257500407518819,1,0
NODE,4,2,1e-07,236,2.978602788061835e-05,1,0
NODE,4,3,1e-05,44,0.0011675521964207292,1,0
NODE,4,3,1e-06,110,0.00018846752936951816,1,0
NODE,4,3,1e-07,242,6.291602039709687e-05,1,0
NODE,4,4,1e-05,56,0.0014637158019468188,1,0
NODE,4,4,1e-06,98,0.0007337809074670076,1,0
NODE,4,4,1e-07,296,7.26919315638952e-05,1,0
NODE,4,5,1e-05,56,0.0033419642131775618,1,0
NODE,4,5,1e-06,116,0.000657533120829612,1,0
NODE,4,5,1e-07,278,0.00018278250354342163,1,0
NODE,4,6,1e-05,56,0.008198133669793606,1,0
NODE,4,6,1e-06,104,0.0009215413010679185,1,0
NODE,4,6,1e-07,302,0.00019825012714136392,1,0
NODE,4,7,1e-05,56,0.013213702477514744,0,0
NODE,4,7,1e-06,110,0.003392130136489868,1,0
NODE,4,7,1e-07,308,0.0005395556217990816,1,0
NODE,4,8,1e-05,68,0.016837717965245247,0,0
NODE,4,8,1e-06,128,0.006066994275897741,1,0
NODE,4,8,1e-07,386,0.0006263168761506677,1,0
ANODE-p5,0,1,1e-05,38,0.0006600236520171165,1,0
ANODE-p5,0,1,1e-06,62,0.00016013091953936964,1,0
ANODE-p5,0,1,1e-07,140,3.378308247192763e-05,1,0
ANODE-p5,0,2,1e-05,38,0.0026133337523788214,1,0
ANODE-p5,0,2,1e-06,68,0.00036411764449439943,1,0
ANODE-p5,0,2,1e-07,170,5.746120950789191e-05,1,0
ANODE-p5,0,3,1e-05,38,0.0013311479706317186,1,0
ANODE-p5,0,3,1e-06,74,0.0003498233272694051,1,0
ANODE-p5,0,3,1e-07,188,5.394038817030378e-05,1,0
ANODE-p5,0,4,1e-05,44,0.0014818547060713172,1,0
ANODE-p5,0,4,1e-06,74,0.00035249171196483076,1,0
ANODE-p5,0,4,1e-07,200,5.7628083595773205e-05,1,0
ANODE-p5,0,5,1e-05,44,0.001969029428437352,1,0
ANODE-p5,0,5,1e-06,80,0.00040226042619906366,1,0
ANODE-p5,0,5,1e-07,206,7.022839417913929e-05,1,0
ANODE-p5,0,6,1e-05,44,0.0017901378450915217,1,0
ANODE-p5,0,6,1e-06,86,0.00045000779209658504,1,0
ANODE-p5,0,6,1e-07,206,7.575481868116185e-05,1,0
ANODE-p5,0,7,1e-05,44,0.0020927242003381252,1,0
ANODE-p5,0,7,1e-06,86,0.00047894081217236817,1,0
ANODE-p5,0,7,1e-07,242,6.559999019373208e-05,1,0
ANODE-p5,0,8,1e-05,50,0.0024620438925921917,1,0
ANODE-p5,0,8,1e-06,86,0.0005186351481825113,1,0
ANODE-p5,0,8,1e-07,206,8.903884736355394e-05,1,0
ANODE-p5,1,1,1e-05,38,0.0010621306719258428,1,0
ANODE-p5,1,1,1e-06,62,0.0001946042903000489,1,0
ANODE-p5,1,1,1e-07,152,4.347259164205752e-05,1,0
ANODE-p5,1,2,1e-05,38,0.0012171973939985037,1,0
ANODE-p5,1,2,1e-06,68,0.0003069138911087066,1,0
ANODE-p5,1,2,1e-07,170,4.732977322419174e-05,1,0
ANODE-p5,1,3,1e-05,44,0.001728901988826692,1,0
ANODE-p5,1,3,1e-06,80,0.00037082319613546133,1,0
ANODE-p5,1,3,1e-07,188,6.265738920774311e-05,1,0
ANODE-p5,1,4,1e-05,44,0.0017576264217495918,1,0
ANODE-p5,1,4,1e-06,86,0.0004274345119483769,1,0
ANODE-p5,1,4,1e-07,194,6.817463145125657e-05,1,0
ANODE-p5,1,5,1e-05,44,0.0017494210042059422,1,0
ANODE-p5,1,5,1e-06,86,0.00045013384078629315,1,0
ANODE-p5,1,5,1e-07,200,6.861488509457558e-05,1,0
ANODE-p5,1,6,1e-05,56,0.0019409414380788803,1,0
ANODE-p5,1,6,1e-06,92,0.0003710430464707315,1,0
ANODE-p5,1,6,1e-07,218,6.953077536309138e-05,1,0
ANODE-p5,1,7,1e-05,56,0.0018742469837889075,1,0
ANODE-p5,1,7,1e-06,98,0.0004384871572256088,1,0
ANODE-p5,1,7,1e-07,218,7.436129089910537e-05,1,0
ANODE-p5,1,8,1e-05,50,0.002257872372865677,1,0
ANODE-p5,1,8,1e-06,98,0.00043214208562858403,1,0
ANODE-p5,1,8,1e-07,218,6.92336616339162e-05,1,0
ANODE-p5,2,1,1e-05,38,0.0015244694659486413,1,0
ANODE-p5,2,1,1e-06,68,0.00036957766860723495,1,0
ANODE-p5,2,1,1e-07,146,5.022313052904792e-05,1,0
ANODE-p5,2,2,1e-05,44,0.0022744284942746162,1,0
ANODE-p5,2,2,1e-06,68,0.0004455329617485404,1,0
ANODE-p5,2,2,1e-07,158,7.778858707752079e-05,1,0
ANODE-p5,2,3,1e-05,44,0.0018325683195143938,1,0
ANODE-p5,2,3,1e-06,80,0.0004000317130703479,1,0
ANODE-p5,2,3,1e-07,176,7.003443170106038e-05,1,0
ANODE-p5,2,4,1e-05,44,0.0012771711917594075,1,0
ANODE-p5,2,4,1e-06,80,0.00040373936644755304,1,0
ANODE-p5,2,4,1e-07,200,8.109872578643262e-05,1,0
ANODE-p5,2,5,1e-05,44,0.00201269518584013,1,0
ANODE-p5,2,5,1e-06,86,0.0004938841448165476,1,0
ANODE-p5,2,5,1e-07,218,7.452103454852477e-05,1,0
ANODE-p5,2,6,1e-05,50,0.0019755284301936626,1,0
ANODE-p5,2,6,1e-06,92,0.0004897288745269179,1,0
ANODE-p5,2,6,1e-07,212,0.00012682954547926784,1,0
ANODE-p5,2,7,1e-05,50,0.004165558610111475,1,0
ANODE-p5,2,7,1e-06,92,0.0006505462806671858,1,0
ANODE-p5,2,7,1e-07,236,0.00012250678264535964,1,0
ANODE-p5,2,8,1e-05,50,0.0027152718976140022,1,0
ANODE-p5,2,8,1e-06,98,0.001814638846553862,1,0
ANODE-p5,2,8,1e-07,236,0.00018365013238508254,1,0
ANODE-p5,3,1,1e-05,38,0.0008840523660182953,1,0
