tol,fwd_nfe,bwd_nfe,bwd_over_fwd,recon_max,integrating
0.01,26,86,3.3076923076923075,2.412242889404297,0
0.001,32,194,6.0625,0.532218337059021,0
0.0001,50,650,13.0,0.024608736857771873,0
1e-05,92,2426,26.369565217391305,0.005677086766809225,1
1e-06,188,9824,52.255319148936174,0.0013726898469030857,1
1e-07,446,41780,93.67713004484305,0.0002381572121521458,1
1e-08,1226,129320,105.48123980424144,3.969315730500966e-05,1
