field,seed,trained,solver,tol,adjoint_tol,adj_offset,fwd_nfe,bwd_nfe,ratio,recon_rel,recon_ok,grad_reldiff,grad_ok,wall_s,capped,ref_tol,hardware
spheres,1,1,dopri5,0.001,0.001,1.0,50,230,4.6,0.20583602786064148,0,0.01188737154006958,0,0.1,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,1,1,dopri5,0.001,0.1,100.0,50,56,1.12,0.20583602786064148,0,0.08605556935071945,0,0.03,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,1,1,dopri5,1e-05,1e-05,1.0,104,3002,28.865384615384617,0.007022238802164793,1,0.00019170799350831658,1,1.01,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,1,1,dopri5,1e-05,0.001,100.0,104,260,2.5,0.007022238802164793,1,0.0007434486760757864,1,0.12,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,1,1,dopri5,1e-07,1e-07,1.0,464,44516,95.9396551724138,0.0001565446291351691,1,6.643523374805227e-05,1,14.69,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,1,1,dopri5,1e-07,9.999999999999999e-06,100.0,464,2960,6.379310344827586,0.0001565446291351691,1,0.0001460370549466461,1,1.1,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,1,1,dopri8,0.001,0.001,1.0,158,4968,31.443037974683545,0.005450579337775707,1,0.00039504881715402007,1,1.57,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,1,1,dopri8,0.001,0.1,100.0,158,379,2.3987341772151898,0.005450579337775707,1,0.002725753700360656,1,0.15,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,1,1,dopri8,1e-05,1e-05,1.0,704,40211,57.11789772727273,0.000272100034635514,1,6.438726268243045e-05,1,12.02,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,1,1,dopri8,1e-05,0.001,100.0,704,4513,6.410511363636363,0.000272100034635514,1,0.0001200253827846609,1,1.53,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,1,1,dopri8,1e-07,1e-07,1.0,4357,232273,53.31030525591003,7.039838692435296e-06,1,6.718886288581416e-05,1,69.03,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,1,1,dopri8,1e-07,9.999999999999999e-06,100.0,4357,40380,9.267844847372045,7.039838692435296e-06,1,6.081741230445914e-05,1,13.32,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,1,1,bosh3,0.001,0.001,1.0,59,512,8.677966101694915,0.051071926951408386,0,0.006161222234368324,1,0.21,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,1,1,bosh3,0.001,0.1,100.0,59,44,0.7457627118644068,0.051071926951408386,0,0.011295074597001076,0,0.04,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,1,1,bosh3,1e-05,1e-05,1.0,209,9143,43.74641148325359,0.0007748867501504719,1,0.00023567302559968084,1,3.36,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,1,1,bosh3,1e-05,0.001,100.0,209,485,2.3205741626794256,0.0007748867501504719,1,0.00041012957808561623,1,0.27,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,1,1,bosh3,1e-07,1e-07,1.0,1340,57842,43.16567164179104,6.0928072343813255e-05,1,6.705465784762055e-05,1,20.95,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,1,1,bosh3,1e-07,9.999999999999999e-06,100.0,1340,8915,6.652985074626866,6.0928072343813255e-05,1,6.750636384822428e-05,1,3.78,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,1,1,adaptive_heun,0.001,0.001,1.0,82,726,8.853658536585366,0.0019440938485786319,1,0.005616940092295408,1,0.49,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,1,1,adaptive_heun,0.001,0.1,100.0,82,35,0.4268292682926829,0.0019440938485786319,1,0.018268750980496407,0,0.08,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,1,1,adaptive_heun,1e-05,1e-05,1.0,707,8418,11.906647807637906,2.4501990992575884e-05,1,0.00010081238724524155,1,5.12,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,1,1,adaptive_heun,1e-05,0.001,100.0,707,690,0.9759547383309759,2.4501990992575884e-05,1,0.00018527822976466268,1,0.94,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,1,1,adaptive_heun,1e-07,1e-07,1.0,6931,41287,5.956860481892945,2.0388379198266193e-05,1,6.796624802518636e-05,1,29.01,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,1,1,adaptive_heun,1e-07,9.999999999999999e-06,100.0,6931,8397,1.2115134901168663,2.0388379198266193e-05,1,6.636716716457158e-05,1,10.19,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,1,1,scipy:LSODA,0.001,0.001,1.0,75,41564,554.1866666666666,0.030884066596627235,0,0.015296022407710552,0,11.36,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,1,1,scipy:LSODA,0.001,0.1,100.0,75,43878,585.04,0.030884066596627235,0,0.01981559582054615,0,11.88,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,1,1,scipy:LSODA,1e-05,1e-05,1.0,375,801882,2138.352,0.00019542366499081254,1,0.0003502335457596928,1,216.71,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,1,1,scipy:LSODA,1e-05,0.001,100.0,375,47724,127.264,0.00019542366499081254,1,0.0011014232877641916,1,12.97,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,1,1,scipy:LSODA,1e-07,1e-07,1.0,3005,1062697,353.64292845257904,3.9935330278240144e-06,1,6.560187466675416e-05,1,286.39,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
