field,seed,trained,solver,tol,adjoint_tol,adj_offset,fwd_nfe,bwd_nfe,ratio,recon_rel,recon_ok,grad_reldiff,grad_ok,wall_s,capped,ref_tol,hardware
spheres,0,1,scipy:LSODA,1e-05,0.001,100.0,355,17429,49.095774647887325,0.0003859336138702929,1,0.0017736052395775914,1,4.71,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,1,scipy:LSODA,1e-07,1e-07,1.0,2823,1171481,414.9773290825363,8.797262125881389e-06,1,0.0007148543372750282,1,312.52,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,1,scipy:LSODA,1e-07,9.999999999999999e-06,100.0,2823,916112,324.5171803046405,8.797262125881389e-06,1,0.0007690615602768958,1,254.54,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,1,scipy:BDF,0.001,0.001,1.0,623,5955,9.558587479935795,0.02021307498216629,0,0.004382834304124117,1,3.54,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,1,scipy:BDF,0.001,0.1,100.0,623,50216,80.60353130016051,0.02021307498216629,0,0.05330285802483559,0,18.08,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,1,scipy:BDF,1e-05,1e-05,1.0,493,21912,44.446247464503045,0.0005225721979513764,1,0.0006672267336398363,1,23.18,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,1,scipy:BDF,1e-05,0.001,100.0,493,5957,12.08316430020284,0.0005225721979513764,1,0.0021268243435770273,1,3.03,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,1,scipy:BDF,1e-07,1e-07,1.0,1265,36307,28.70118577075099,1.476753914175788e-05,1,0.0007361025200225413,1,158.68,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,1,scipy:BDF,1e-07,9.999999999999999e-06,100.0,1265,19233,15.20395256916996,1.476753914175788e-05,1,0.0006307451985776424,1,22.96,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,1,scipy:RK45,0.001,0.001,1.0,38,86,2.263157894736842,0.15135954320430756,0,0.01971811056137085,0,0.03,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,1,scipy:RK45,0.001,0.1,100.0,38,38,1.0,0.15135954320430756,0,0.13596367835998535,0,0.02,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,1,scipy:RK45,1e-05,1e-05,1.0,80,1214,15.175,0.003408395452424884,1,0.0005186820053495467,1,0.36,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,1,scipy:RK45,1e-05,0.001,100.0,80,92,1.15,0.003408395452424884,1,0.01417549792677164,0,0.05,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,1,scipy:RK45,1e-07,1e-07,1.0,452,17822,39.42920353982301,0.0001220747217303142,1,0.0006188388215377927,1,4.88,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,1,scipy:RK45,1e-07,9.999999999999999e-06,100.0,452,1208,2.672566371681416,0.0001220747217303142,1,0.0004314486577641219,1,0.43,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,0,dopri5,0.001,0.001,1.0,20,44,2.2,0.003034699009731412,1,0.0051848385483026505,1,0.02,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,0,dopri5,0.001,0.1,100.0,20,26,1.3,0.003034699009731412,1,0.014522675424814224,0,0.02,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,0,dopri5,1e-05,1e-05,1.0,26,338,13.0,0.0006160144694149494,1,0.00047215379890985787,1,0.13,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,0,dopri5,1e-05,0.001,100.0,26,44,1.6923076923076923,0.0006160144694149494,1,0.004446693230420351,1,0.03,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,0,dopri5,1e-07,1e-07,1.0,74,5120,69.1891891891892,3.7879071896895766e-05,1,0.00027740636141970754,1,1.71,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,0,dopri5,1e-07,9.999999999999999e-06,100.0,74,350,4.72972972972973,3.7879071896895766e-05,1,0.00044669199269264936,1,0.14,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
