field,seed,trained,solver,tol,adjoint_tol,adj_offset,fwd_nfe,bwd_nfe,ratio,recon_rel,recon_ok,grad_reldiff,grad_ok,wall_s,capped,ref_tol,hardware
spheres,4,1,dopri5,0.001,0.001,1.0,62,266,4.290322580645161,0.271889328956604,0,0.10869371891021729,0,0.11,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,4,1,dopri5,0.001,0.1,100.0,62,68,1.096774193548387,0.271889328956604,0,0.7753130793571472,0,0.04,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,4,1,dopri5,1e-05,1e-05,1.0,164,5066,30.890243902439025,0.010282429866492748,0,0.008252418600022793,1,1.67,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,4,1,dopri5,1e-05,0.001,100.0,164,230,1.4024390243902438,0.010282429866492748,0,0.006462260615080595,1,0.13,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,4,1,dopri5,1e-07,1e-07,1.0,950,86402,90.94947368421053,0.00025591757730580866,1,0.0008370833820663393,1,27.3,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,4,1,dopri5,1e-07,9.999999999999999e-06,100.0,950,4982,5.24421052631579,0.00025591757730580866,1,0.0015096401330083609,1,1.86,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,4,1,dopri8,0.001,0.001,1.0,236,8790,37.24576271186441,0.013702526688575745,0,0.004964012186974287,1,2.62,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,4,1,dopri8,0.001,0.1,100.0,236,509,2.156779661016949,0.013702526688575745,0,0.02431540936231613,0,0.21,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,4,1,dopri8,1e-05,1e-05,1.0,1406,74973,53.32361308677098,0.0004189939354546368,1,0.0002236368745798245,1,22.27,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,4,1,dopri8,1e-05,0.001,100.0,1406,9362,6.658605974395448,0.0004189939354546368,1,0.0010111469309777021,1,3.15,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,4,1,dopri8,1e-07,1e-07,1.0,10012,498812,49.821414302836594,1.4054829989618156e-05,1,0.00041153974598273635,1,149.24,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,4,1,dopri8,1e-07,9.999999999999999e-06,100.0,10012,75805,7.571414302836596,1.4054829989618156e-05,1,0.0003418786218389869,1,25.06,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,4,1,bosh3,0.001,0.001,1.0,74,734,9.91891891891892,0.12088232487440109,0,0.023200390860438347,0,0.3,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,4,1,bosh3,0.001,0.1,100.0,74,35,0.47297297297297297,0.12088232487440109,0,0.14931297302246094,0,0.04,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,4,1,bosh3,1e-05,1e-05,1.0,407,17570,43.16953316953317,0.0010552083840593696,1,0.00028341158758848906,1,6.82,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,4,1,bosh3,1e-05,0.001,100.0,407,737,1.8108108108108107,0.0010552083840593696,1,0.0010885122464969754,1,0.45,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,4,1,bosh3,1e-07,1e-07,1.0,2804,126182,45.00071326676177,3.0471221180050634e-05,1,0.000429544277722016,1,50.36,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,4,1,bosh3,1e-07,9.999999999999999e-06,100.0,2804,17462,6.227532097004279,3.0471221180050634e-05,1,0.0003957913431804627,1,7.58,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,4,1,adaptive_heun,0.001,0.001,1.0,126,1095,8.69047619047619,0.004770399071276188,1,0.0095405587926507,1,0.73,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,4,1,adaptive_heun,0.001,0.1,100.0,126,51,0.40476190476190477,0.004770399071276188,1,0.2332724779844284,0,0.13,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,4,1,adaptive_heun,1e-05,1e-05,1.0,1168,17786,15.227739726027398,2.980227509397082e-05,1,0.0002710629196371883,1,10.78,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,4,1,adaptive_heun,1e-05,0.001,100.0,1168,1097,0.9392123287671232,2.980227509397082e-05,1,0.002662547631189227,1,1.56,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,4,1,adaptive_heun,1e-07,1e-07,1.0,11580,90784,7.839723661485319,1.5498677385039628e-05,1,0.00042638645390979946,1,62.65,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,4,1,adaptive_heun,1e-07,9.999999999999999e-06,100.0,11580,17708,1.529188255613126,1.5498677385039628e-05,1,0.0004984294064342976,1,20.36,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,4,1,scipy:LSODA,0.001,0.001,1.0,131,18517,141.35114503816794,0.03216870501637459,0,0.008388428017497063,1,5.51,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,4,1,scipy:LSODA,0.001,0.1,100.0,131,141,1.0763358778625953,0.03216870501637459,0,0.029136810451745987,0,0.07,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,4,1,scipy:LSODA,1e-05,1e-05,1.0,733,1582429,2158.8390177353344,0.000392380403354764,1,0.0006510364473797381,1,451.03,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,4,1,scipy:LSODA,1e-05,0.001,100.0,733,3596,4.905866302864939,0.000392380403354764,1,0.001217355951666832,1,1.03,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,4,1,scipy:LSODA,1e-07,1e-07,1.0,-1,-1,nan,nan,0,nan,0,600.0,1,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,4,1,scipy:LSODA,1e-07,9.999999999999999e-06,100.0,7270,1704728,234.48803301237965,7.434130566252861e-06,1,0.00018424268637318164,1,467.63,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,4,1,scipy:BDF,0.001,0.001,1.0,1118,8913,7.97227191413238,0.05727529525756836,0,0.02236994355916977,0,5.25,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,4,1,scipy:BDF,0.001,0.1,100.0,1118,86253,77.14937388193202,0.05727529525756836,0,0.09975205361843109,0,29.55,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,4,1,scipy:BDF,1e-05,1e-05,1.0,936,26240,28.034188034188034,0.0008694696589373052,1,0.0002600482548587024,1,51.5,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,4,1,scipy:BDF,1e-05,0.001,100.0,936,39429,42.125,0.0008694696589373052,1,0.006547924131155014,1,15.78,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,4,1,scipy:BDF,1e-07,1e-07,1.0,2676,90162,33.69282511210762,1.9715820599230938e-05,1,0.00028447300428524613,1,425.49,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,4,1,scipy:BDF,1e-07,9.999999999999999e-06,100.0,2676,15027,5.615470852017937,1.9715820599230938e-05,1,0.0002868250012397766,1,45.53,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,4,1,scipy:RK45,0.001,0.001,1.0,68,188,2.764705882352941,0.161958247423172,0,0.05782701447606087,0,0.07,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,4,1,scipy:RK45,0.001,0.1,100.0,68,62,0.9117647058823529,0.161958247423172,0,0.8065955638885498,0,0.03,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,4,1,scipy:RK45,1e-05,1e-05,1.0,176,3368,19.136363636363637,0.006955150980502367,1,0.007625208236277103,1,0.91,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,4,1,scipy:RK45,1e-05,0.001,100.0,176,182,1.0340909090909092,0.006955150980502367,1,0.026440488174557686,0,0.09,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,4,1,scipy:RK45,1e-07,1e-07,1.0,1154,47864,41.476603119584055,0.0002765566168818623,1,0.00043799966806545854,1,12.73,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,4,1,scipy:RK45,1e-07,9.999999999999999e-06,100.0,1154,3296,2.856152512998267,0.0002765566168818623,1,0.0007403509225696325,1,1.12,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,4,0,dopri5,0.001,0.001,1.0,20,50,2.5,0.00278481631539762,1,0.003060895251110196,1,0.03,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,4,0,dopri5,0.001,0.1,100.0,20,26,1.3,0.00278481631539762,1,0.012070753611624241,0,0.02,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,4,0,dopri5,1e-05,1e-05,1.0,26,362,13.923076923076923,0.000677188450936228,1,0.0006805267184972763,1,0.13,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,4,0,dopri5,1e-05,0.001,100.0,26,44,1.6923076923076923,0.000677188450936228,1,0.003228000132367015,1,0.02,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,4,0,dopri5,1e-07,1e-07,1.0,74,5204,70.32432432432432,3.7451678508659825e-05,1,0.0002736319147516042,1,1.73,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,4,0,dopri5,1e-07,9.999999999999999e-06,100.0,74,392,5.297297297297297,3.7451678508659825e-05,1,0.0004977415082976222,1,0.16,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,4,0,dopri8,0.001,0.001,1.0,41,548,13.365853658536585,0.0005543711595237255,1,0.0008141359430737793,1,0.18,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,4,0,dopri8,0.001,0.1,100.0,41,106,2.5853658536585367,0.0005543711595237255,1,0.004673143848776817,1,0.05,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,4,0,dopri8,1e-05,1e-05,1.0,119,8517,71.57142857142857,8.092517964541912e-05,1,0.00028787474730052054,1,2.61,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,4,0,dopri8,1e-05,0.001,100.0,119,600,5.042016806722689,8.092517964541912e-05,1,0.0007185945869423449,1,0.21,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,4,0,dopri8,1e-07,1e-07,1.0,665,55291,83.14436090225564,2.6541008537606103e-06,1,0.00027076996047981083,1,16.57,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,4,0,dopri8,1e-07,9.999999999999999e-06,100.0,665,8348,12.553383458646616,2.6541008537606103e-06,1,0.0002687479427549988,1,2.62,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,4,0,bosh3,0.001,0.001,1.0,11,53,4.818181818181818,0.01246391236782074,0,0.010560229420661926,0,0.03,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,4,0,bosh3,0.001,0.1,100.0,11,11,1.0,0.01246391236782074,0,0.05020122975111008,0,0.01,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,4,0,bosh3,1e-05,1e-05,1.0,29,992,34.206896551724135,0.00024944511824287474,1,0.0005690045654773712,1,0.37,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,4,0,bosh3,1e-05,0.001,100.0,29,56,1.9310344827586208,0.00024944511824287474,1,0.0018505715997889638,1,0.03,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,4,0,bosh3,1e-07,1e-07,1.0,161,15662,97.27950310559007,1.1087448910984676e-05,1,0.0002764764940366149,1,5.98,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,4,0,bosh3,1e-07,9.999999999999999e-06,100.0,161,1004,6.236024844720497,1.1087448910984676e-05,1,0.0003030480002053082,1,0.46,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,4,0,adaptive_heun,0.001,0.001,1.0,8,60,7.5,0.002163149416446686,1,0.002541452180594206,1,0.04,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,4,0,adaptive_heun,0.001,0.1,100.0,8,10,1.25,0.002163149416446686,1,0.019366880878806114,0,0.01,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
