field,seed,trained,solver,tol,adjoint_tol,adj_offset,fwd_nfe,bwd_nfe,ratio,recon_rel,recon_ok,grad_reldiff,grad_ok,wall_s,capped,ref_tol,hardware
spheres,3,1,dopri5,0.001,0.001,1.0,62,242,3.903225806451613,1.2384696006774902,0,0.4439680576324463,0,0.11,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,3,1,dopri5,0.001,0.1,100.0,62,62,1.0,1.2384696006774902,0,0.9565757513046265,0,0.04,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,3,1,dopri5,1e-05,1e-05,1.0,164,5396,32.90243902439025,0.01564980112016201,0,0.002425962360575795,1,1.77,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,3,1,dopri5,1e-05,0.001,100.0,164,248,1.5121951219512195,0.01564980112016201,0,0.012622983194887638,0,0.14,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,3,1,dopri5,1e-07,1e-07,1.0,854,93602,109.60421545667447,0.0008273152052424848,1,0.0004973650211468339,1,29.68,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,3,1,dopri5,1e-07,9.999999999999999e-06,100.0,854,5084,5.953161592505855,0.0008273152052424848,1,0.0013489059638231993,1,1.89,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,3,1,dopri8,0.001,0.001,1.0,197,9466,48.0507614213198,0.03372768685221672,0,0.0035467450506985188,1,2.84,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,3,1,dopri8,0.001,0.1,100.0,197,470,2.3857868020304567,0.03372768685221672,0,0.017504513263702393,0,0.19,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,3,1,dopri8,1e-05,1e-05,1.0,1276,74830,58.64420062695925,0.001176303718239069,1,0.0005607683560810983,1,22.12,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,3,1,dopri8,1e-05,0.001,100.0,1276,10051,7.8769592476489025,0.001176303718239069,1,0.0013340340228751302,1,3.22,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,3,1,dopri8,1e-07,1e-07,1.0,8634,503791,58.34966411860088,3.429165735724382e-05,1,0.0005681674811057746,1,149.71,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,3,1,dopri8,1e-07,9.999999999999999e-06,100.0,8634,76585,8.870164466064397,3.429165735724382e-05,1,0.000519843481015414,1,24.5,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,3,1,bosh3,0.001,0.001,1.0,74,617,8.337837837837839,0.5693247318267822,0,0.13250015676021576,0,0.25,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,3,1,bosh3,0.001,0.1,100.0,74,41,0.5540540540540541,0.5693247318267822,0,0.25388750433921814,0,0.05,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
