field,seed,trained,solver,tol,adjoint_tol,adj_offset,fwd_nfe,bwd_nfe,ratio,recon_rel,recon_ok,grad_reldiff,grad_ok,wall_s,capped,ref_tol,hardware
spheres,2,1,dopri5,0.001,0.001,1.0,74,236,3.189189189189189,0.8810699582099915,0,0.09840773046016693,0,0.11,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,2,1,dopri5,0.001,0.1,100.0,74,56,0.7567567567567568,0.8810699582099915,0,1.162749171257019,0,0.04,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,2,1,dopri5,1e-05,1e-05,1.0,158,4844,30.658227848101266,0.01729205809533596,0,0.002002278808504343,1,1.57,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,2,1,dopri5,1e-05,0.001,100.0,158,248,1.5696202531645569,0.01729205809533596,0,0.02460399828851223,0,0.13,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,2,1,dopri5,1e-07,1e-07,1.0,890,88310,99.2247191011236,0.0007940955692902207,1,0.0011115956585854292,1,27.87,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,2,1,dopri5,1e-07,9.999999999999999e-06,100.0,890,4988,5.604494382022472,0.0007940955692902207,1,0.0015511652454733849,1,1.84,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,2,1,dopri8,0.001,0.001,1.0,223,9206,41.28251121076233,0.046169012784957886,0,0.011629024520516396,0,2.71,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,2,1,dopri8,0.001,0.1,100.0,223,431,1.9327354260089686,0.046169012784957886,0,0.056725580245256424,0,0.21,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,2,1,dopri8,1e-05,1e-05,1.0,1263,77313,61.21377672209026,0.0014697588048875332,1,0.0007927640108391643,1,22.64,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,2,1,dopri8,1e-05,0.001,100.0,1263,9258,7.330166270783848,0.0014697588048875332,1,0.0007712833466939628,1,3.0,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,2,1,dopri8,1e-07,1e-07,1.0,9193,514854,56.00500380724464,3.4719600080279633e-05,1,0.0008590868674218655,1,151.84,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,2,1,dopri8,1e-07,9.999999999999999e-06,100.0,9193,77599,8.441096486457086,3.4719600080279633e-05,1,0.00087595300283283,1,24.94,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,2,1,bosh3,0.001,0.001,1.0,80,578,7.225,0.7896131277084351,0,0.10416966676712036,0,0.26,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,2,1,bosh3,0.001,0.1,100.0,80,38,0.475,0.7896131277084351,0,0.2546391189098358,0,0.05,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,2,1,bosh3,1e-05,1e-05,1.0,398,17519,44.017587939698494,0.01609743759036064,0,0.00277339038439095,1,6.44,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,2,1,bosh3,1e-05,0.001,100.0,398,548,1.3768844221105527,0.01609743759036064,0,0.003847766201943159,1,0.37,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,2,1,bosh3,1e-07,1e-07,1.0,2585,131573,50.898646034816245,0.0004871269629802555,1,0.0009237518534064293,1,48.43,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,2,1,bosh3,1e-07,9.999999999999999e-06,100.0,2585,17900,6.924564796905223,0.0004871269629802555,1,0.001040011178702116,1,7.39,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,2,1,adaptive_heun,0.001,0.001,1.0,123,929,7.5528455284552845,0.047751203179359436,0,0.008966520428657532,1,0.6,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,2,1,adaptive_heun,0.001,0.1,100.0,123,57,0.4634146341463415,0.047751203179359436,0,0.24611738324165344,0,0.13,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,2,1,adaptive_heun,1e-05,1e-05,1.0,1154,18073,15.661178509532062,0.00017776573076844215,1,0.0007720787543803453,1,10.58,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,2,1,adaptive_heun,1e-05,0.001,100.0,1154,904,0.7833622183708839,0.00017776573076844215,1,0.0032611547503620386,1,1.43,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,2,1,adaptive_heun,1e-07,1e-07,1.0,11453,93272,8.143892429931022,4.809059464605525e-05,1,0.0008613533573225141,1,63.22,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
