field,seed,trained,solver,tol,adjoint_tol,adj_offset,fwd_nfe,bwd_nfe,ratio,recon_rel,recon_ok,grad_reldiff,grad_ok,wall_s,capped,ref_tol,hardware
mnist,2,1,dopri5,0.001,0.001,1.0,38,476,12.526315789473685,0.22927959263324738,0,0.028233733028173447,0,0.81,0,1e-07,NVIDIA A100 80GB PCIe MIG 4g.40gb
mnist,2,1,dopri5,0.001,0.1,100.0,38,98,2.5789473684210527,0.22927959263324738,0,0.08963390439748764,0,0.22,0,1e-07,NVIDIA A100 80GB PCIe MIG 4g.40gb
mnist,2,1,dopri5,1e-05,1e-05,1.0,116,15158,130.67241379310346,0.0071107023395597935,1,0.0004664776206482202,1,21.74,0,1e-07,NVIDIA A100 80GB PCIe MIG 4g.40gb
mnist,2,1,dopri5,1e-05,0.001,100.0,116,524,4.517241379310345,0.0071107023395597935,1,0.0005686192307621241,1,0.97,0,1e-07,NVIDIA A100 80GB PCIe MIG 4g.40gb
mnist,2,1,bosh3,0.001,0.001,1.0,62,1394,22.483870967741936,0.04891160875558853,0,0.006387963891029358,1,2.4,0,1e-07,NVIDIA A100 80GB PCIe MIG 4g.40gb
mnist,2,1,bosh3,0.001,0.1,100.0,62,71,1.1451612903225807,0.04891160875558853,0,0.037050310522317886,0,0.25,0,1e-07,NVIDIA A100 80GB PCIe MIG 4g.40gb
mnist,2,1,bosh3,1e-05,1e-05,1.0,233,48065,206.28755364806867,0.0016450725961476564,1,0.0003964353818446398,1,76.95,0,1e-07,NVIDIA A100 80GB PCIe MIG 4g.40gb
mnist,2,1,bosh3,1e-05,0.001,100.0,233,1331,5.71244635193133,0.0016450725961476564,1,0.0003965173091273755,1,2.7,0,1e-07,NVIDIA A100 80GB PCIe MIG 4g.40gb
mnist,2,1,scipy:LSODA,0.001,0.001,1.0,-1,-1,nan,nan,0,nan,0,0.01,1,1e-07,NVIDIA A100 80GB PCIe MIG 4g.40gb
mnist,2,1,scipy:LSODA,0.001,0.1,100.0,-1,-1,nan,nan,0,nan,0,0.0,1,1e-07,NVIDIA A100 80GB PCIe MIG 4g.40gb
mnist,2,1,scipy:LSODA,1e-05,1e-05,1.0,-1,-1,nan,nan,0,nan,0,0.0,1,1e-07,NVIDIA A100 80GB PCIe MIG 4g.40gb
mnist,2,1,scipy:LSODA,1e-05,0.001,100.0,-1,-1,nan,nan,0,nan,0,0.0,1,1e-07,NVIDIA A100 80GB PCIe MIG 4g.40gb
