geometry,stem,head,n_seeds,n_diverged,val_acc_mean,val_acc_std,val_loss_mean,val_loss_std,fwd_nfe_median,fwd_nfe_q1,fwd_nfe_q3,fwd_nfe_peak_max
circles,no-stem,linear,5,0,0.991,0.01319090595827293,0.04460653916345834,0.0681813835514507,44.0,37.07692307692308,49.53846153846154,73.53846153846153
circles,stem,linear,5,0,0.9550000000000001,0.04636809247747851,0.12125835426896807,0.09944963053655137,45.38461538461539,40.30769230769231,68.0,76.76923076923077
spheres,no-stem,linear,5,0,0.9983333333333334,0.003333333333333277,0.008853009867719535,0.014424294165538752,42.4,37.2,52.0,70.0
spheres,no-stem,mlp,5,0,0.9991666666666668,0.0016666666666667052,0.00579862436864154,0.010616604376247729,32.0,30.4,32.0,34.8
spheres,stem,linear,5,0,0.9658333333333333,0.058118652580542336,0.07665656811868146,0.10913859439293973,42.0,36.4,54.8,69.6
