model,augment_dim,seed,geometry,budget,epochs_done,status,train_tol,eval_tol,val_acc,val_loss,dense_acc,fwd_nfe_median,fwd_nfe_q1,fwd_nfe_q3,fwd_nfe_max,recon_max,recon_mean,recon_ok,elapsed_s
ANODE-p1,1,0,circles,200,200,ok,1e-06,1e-06,1.0,1.4305113147372595e-08,0.999833345413208,134.0,116.0,140.0,146.0,0.0003075252170674503,7.103606913005933e-05,1,193.4
ANODE-p1,1,0,circles,500,500,ok,1e-06,1e-06,1.0,0.0,0.9995833039283752,134.0,122.0,146.0,152.0,0.000292660144623369,7.868105603847653e-05,1,483.8
ANODE-p1,1,1,circles,25,25,ok,1e-06,1e-06,1.0,2.8264143111300654e-06,0.999666690826416,146.0,92.0,164.0,176.0,0.00019624840933829546,5.360951035981998e-05,1,27.4
ANODE-p1,1,1,circles,50,50,ok,1e-06,1e-06,1.0,1.4847403554085758e-06,0.9995833039283752,146.0,92.0,170.0,182.0,0.0002627881185617298,5.657217843690887e-05,1,58.8
ANODE-p1,1,1,circles,100,100,ok,1e-06,1e-06,1.0,4.947173397340521e-07,0.9995833039283752,146.0,98.0,170.0,188.0,0.00020719201711472124,5.261929254629649e-05,1,117.8
ANODE-p1,1,1,circles,200,200,ok,1e-06,1e-06,1.0,9.357923715924699e-08,0.9995833039283752,152.0,98.0,170.0,182.0,0.00021489437494892627,6.207227852428332e-05,1,230.5
ANODE-p1,1,1,circles,500,500,ok,1e-06,1e-06,1.0,2.9802320611338473e-09,0.9995833039283752,152.0,104.0,173.0,182.0,0.0003232469316571951,6.291791214607656e-05,1,580.0
ANODE-p1,1,2,circles,25,25,ok,1e-06,1e-06,1.0,7.896387280197813e-05,0.9994999766349792,122.0,104.0,128.0,140.0,0.00025613466277718544,6.178523472044617e-05,1,33.2
ANODE-p1,1,2,circles,50,50,ok,1e-06,1e-06,1.0,2.0479185768635943e-05,0.9995833039283752,128.0,104.0,137.0,146.0,0.00041259167483076453,7.447539974236861e-05,1,62.5
ANODE-p1,1,2,circles,100,100,ok,1e-06,1e-06,1.0,5.336030735634267e-06,0.9995833039283752,128.0,104.0,140.0,158.0,0.0003668332356028259,7.253677904373035e-05,1,117.8
ANODE-p1,1,2,circles,200,200,ok,1e-06,1e-06,1.0,1.1092241129517789e-06,0.9995833039283752,128.0,104.0,140.0,158.0,0.0003811412607319653,7.591005851281807e-05,1,223.0
ANODE-p1,1,2,circles,500,500,ok,1e-06,1e-06,1.0,4.887575329348692e-08,0.9994166493415833,122.0,110.0,146.0,152.0,0.0002635608543641865,6.710209709126502e-05,1,517.6
ANODE-p1,1,3,circles,25,25,ok,1e-06,1e-06,1.0,0.00043071115505881606,0.999916672706604,146.0,104.0,170.0,176.0,0.0003844443126581609,7.215618825284764e-05,1,33.2
ANODE-p1,1,3,circles,50,50,ok,1e-06,1e-06,1.0,0.00011182758811628446,0.9995833039283752,146.0,104.0,170.0,176.0,0.0002931400667876005,6.762250995961949e-05,1,61.9
ANODE-p1,1,3,circles,100,100,ok,1e-06,1e-06,1.0,3.013240420841612e-05,0.9993333220481873,152.0,104.0,170.0,182.0,0.00034433946711942554,7.217004895210266e-05,1,116.3
ANODE-p1,1,3,circles,200,200,ok,1e-06,1e-06,1.0,6.5926788556680545e-06,0.9992499947547913,146.0,104.0,170.0,182.0,0.00032796390587463975,7.859333709347993e-05,1,224.9
ANODE-p1,1,3,circles,500,500,ok,1e-06,1e-06,1.0,4.1663529657398615e-07,0.9991666674613953,152.0,104.0,176.0,182.0,0.0002544874441809952,7.941618241602555e-05,1,546.2
ANODE-p1,1,4,circles,25,25,ok,1e-06,1e-06,0.995,0.01845145737635903,0.9991666674613953,182.0,98.0,200.0,212.0,0.00019863253692165017,3.784077489399351e-05,1,30.9
ANODE-p1,1,4,circles,50,50,ok,1e-06,1e-06,0.995,0.01958854488671932,0.9985833168029785,170.0,104.0,200.0,212.0,0.00020596940885297954,5.3531908633885905e-05,1,64.2
ANODE-p1,1,4,circles,100,100,ok,1e-06,1e-06,0.995,0.021525692337695544,0.9986666440963745,176.0,104.0,200.0,218.0,0.0007476159953512251,6.435371324187145e-05,1,129.3
ANODE-p1,1,4,circles,200,200,ok,1e-06,1e-06,0.995,0.023561834096580015,0.9985833168029785,170.0,104.0,206.0,212.0,0.00015397235983982682,4.5915061491541564e-05,1,268.2
ANODE-p1,1,4,circles,500,500,ok,1e-06,1e-06,0.995,0.027254905104635727,0.9985833168029785,188.0,104.0,206.0,218.0,0.00010504339297767729,3.5303117329021916e-05,1,656.8
