model,params,seed,epoch,tol,eval_tol,train_acc,train_loss,test_acc,test_loss,train_fwd_nfe,faithful_fwd_nfe,recon_rel,recon_ok,gap_acc,epoch_s,test_acc_at_tol,test_loss_at_tol,hardware
NODE,85316,0,1,0.001,0.001,0.8666,0.44684375027020773,0.9146,0.2910730683326721,20.638297872340427,20,0.019295265898108482,0,-0.04799999999999993,78.3,nan,nan,NVIDIA GeForce RTX 3090
NODE,85316,0,1,0.001,1e-05,0.8666,0.44684375027020773,0.9146,0.2910730683326721,20.638297872340427,44,0.0006157360621728003,1,-0.04799999999999993,78.3,nan,nan,NVIDIA GeForce RTX 3090
NODE,85316,0,1,0.001,1e-06,0.8666,0.44684375027020773,0.9146,0.2910730683326721,20.638297872340427,74,0.00012321790563873947,1,-0.04799999999999993,78.3,nan,nan,NVIDIA GeForce RTX 3090
NODE,85316,0,1,0.001,1e-07,0.8666,0.44684375027020773,0.9146,0.2910730683326721,20.638297872340427,206,2.5705790903884917e-05,1,-0.04799999999999993,78.3,nan,nan,NVIDIA GeForce RTX 3090
NODE,85316,0,2,0.001,0.001,0.91485,0.29459296667575835,0.9202,0.2746952403306961,20.43404255319149,26,0.021549953147768974,0,-0.005349999999999966,82.2,nan,nan,NVIDIA GeForce RTX 3090
NODE,85316,0,2,0.001,1e-05,0.91485,0.29459296667575835,0.9202,0.2746952403306961,20.43404255319149,50,0.0005737754981964827,1,-0.005349999999999966,82.2,nan,nan,NVIDIA GeForce RTX 3090
NODE,85316,0,2,0.001,1e-06,0.91485,0.29459296667575835,0.9202,0.2746952403306961,20.43404255319149,92,0.00016728976333979517,1,-0.005349999999999966,82.2,nan,nan,NVIDIA GeForce RTX 3090
NODE,85316,0,2,0.001,1e-07,0.91485,0.29459296667575835,0.9202,0.2746952403306961,20.43404255319149,230,3.655502223409712e-05,1,-0.005349999999999966,82.2,nan,nan,NVIDIA GeForce RTX 3090
NODE,85316,0,3,0.001,0.001,0.9214333333333333,0.2693965492884318,0.9258,0.24474895111322403,29.24255319148936,32,0.03271546959877014,0,-0.00436666666666663,87.4,nan,nan,NVIDIA GeForce RTX 3090
NODE,85316,0,3,0.001,1e-05,0.9214333333333333,0.2693965492884318,0.9258,0.24474895111322403,29.24255319148936,50,0.0017583115259185433,1,-0.00436666666666663,87.4,nan,nan,NVIDIA GeForce RTX 3090
