model,params,seed,epoch,tol,eval_tol,train_acc,train_loss,test_acc,test_loss,train_fwd_nfe,faithful_fwd_nfe,recon_rel,recon_ok,gap_acc,epoch_s,test_acc_at_tol,test_loss_at_tol,hardware
NODE,85316,3,1,0.001,0.001,0.8694333333333333,0.4324889711380005,0.9135,0.3025235608577728,25.029787234042555,20,0.011875716038048267,0,-0.0440666666666667,81.7,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,85316,3,1,0.001,1e-05,0.8694333333333333,0.4324889711380005,0.9135,0.3025235608577728,25.029787234042555,50,0.0006668163114227355,1,-0.0440666666666667,81.7,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,85316,3,1,0.001,1e-06,0.8694333333333333,0.4324889711380005,0.9135,0.3025235608577728,25.029787234042555,98,0.00015134421119000763,1,-0.0440666666666667,81.7,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,85316,3,1,0.001,1e-07,0.8694333333333333,0.4324889711380005,0.9135,0.3025235608577728,25.029787234042555,224,2.1378245946834795e-05,1,-0.0440666666666667,81.7,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,85316,3,2,0.001,0.001,0.91295,0.29620262302557626,0.9151,0.2872450035095215,24.927659574468084,26,0.02118227630853653,0,-0.0021499999999999853,79.2,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,85316,3,2,0.001,1e-05,0.91295,0.29620262302557626,0.9151,0.2872450035095215,24.927659574468084,50,0.0006990765687078238,1,-0.0021499999999999853,79.2,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,85316,3,2,0.001,1e-06,0.91295,0.29620262302557626,0.9151,0.2872450035095215,24.927659574468084,92,0.00014746941451448947,1,-0.0021499999999999853,79.2,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,85316,3,2,0.001,1e-07,0.91295,0.29620262302557626,0.9151,0.2872450035095215,24.927659574468084,284,2.6244109903927892e-05,1,-0.0021499999999999853,79.2,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,85316,3,3,0.001,0.001,0.9211666666666667,0.26833457214832307,0.9294,0.24513366525173189,25.948936170212765,26,0.034690603613853455,0,-0.008233333333333315,79.7,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,85316,3,3,0.001,1e-05,0.9211666666666667,0.26833457214832307,0.9294,0.24513366525173189,25.948936170212765,56,0.0009296165662817657,1,-0.008233333333333315,79.7,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,85316,3,3,0.001,1e-06,0.9211666666666667,0.26833457214832307,0.9294,0.24513366525173189,25.948936170212765,122,0.0001862442004494369,1,-0.008233333333333315,79.7,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,85316,3,3,0.001,1e-07,0.9211666666666667,0.26833457214832307,0.9294,0.24513366525173189,25.948936170212765,302,3.941461909562349e-05,1,-0.008233333333333315,79.7,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,85316,3,4,0.001,0.001,0.92675,0.24780783251126606,0.9361,0.22709588897228242,26.0,26,0.0439855121076107,0,-0.00935000000000008,80.7,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,85316,3,4,0.001,1e-05,0.92675,0.24780783251126606,0.9361,0.22709588897228242,26.0,62,0.0015518685104325414,1,-0.00935000000000008,80.7,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,85316,3,4,0.001,1e-06,0.92675,0.24780783251126606,0.9361,0.22709588897228242,26.0,122,0.0003598184266593307,1,-0.00935000000000008,80.7,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,85316,3,4,0.001,1e-07,0.92675,0.24780783251126606,0.9361,0.22709588897228242,26.0,380,5.721946217818186e-05,1,-0.00935000000000008,80.7,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,85316,3,5,0.001,0.001,0.9322333333333334,0.2300179260492325,0.9427,0.20406409834623337,26.357446808510637,26,0.15067702531814575,0,-0.010466666666666624,82.5,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,85316,3,5,0.001,1e-05,0.9322333333333334,0.2300179260492325,0.9427,0.20406409834623337,26.357446808510637,68,0.002231822581961751,1,-0.010466666666666624,82.5,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,85316,3,5,0.001,1e-06,0.9322333333333334,0.2300179260492325,0.9427,0.20406409834623337,26.357446808510637,146,0.00045503638102672994,1,-0.010466666666666624,82.5,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,85316,3,5,0.001,1e-07,0.9322333333333334,0.2300179260492325,0.9427,0.20406409834623337,26.357446808510637,362,9.404169395565987e-05,1,-0.010466666666666624,82.5,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,85316,3,6,0.001,0.001,0.9391166666666667,0.2105732601324717,0.9435,0.20484801999926566,31.770212765957446,32,0.18550431728363037,0,-0.004383333333333295,96.8,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,85316,3,6,0.001,1e-05,0.9391166666666667,0.2105732601324717,0.9435,0.20484801999926566,31.770212765957446,74,0.006800324656069279,1,-0.004383333333333295,96.8,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,85316,3,6,0.001,1e-06,0.9391166666666667,0.2105732601324717,0.9435,0.20484801999926566,31.770212765957446,152,0.0009370445623062551,1,-0.004383333333333295,96.8,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,85316,3,6,0.001,1e-07,0.9391166666666667,0.2105732601324717,0.9435,0.20484801999926566,31.770212765957446,458,0.00016509172564838082,1,-0.004383333333333295,96.8,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,85316,3,7,0.001,0.001,0.9436333333333333,0.19421534241835275,0.9342,0.21472162872552872,32.0,32,0.2070412039756775,0,0.009433333333333294,97.8,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,85316,3,7,0.001,1e-05,0.9436333333333333,0.19421534241835275,0.9342,0.21472162872552872,32.0,80,0.006756715476512909,1,0.009433333333333294,97.8,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,85316,3,7,0.001,1e-06,0.9436333333333333,0.19421534241835275,0.9342,0.21472162872552872,32.0,158,0.0015782320406287909,1,0.009433333333333294,97.8,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,85316,3,7,0.001,1e-07,0.9436333333333333,0.19421534241835275,0.9342,0.21472162872552872,32.0,488,0.0001773210387909785,1,0.009433333333333294,97.8,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,85316,3,8,0.001,0.001,0.9492833333333334,0.17671445723374685,0.9379,0.21954957244694234,34.11914893617021,38,0.38306117057800293,0,0.011383333333333412,104.7,0.9379,0.21954957244694234,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,85316,3,8,0.001,1e-05,0.9492833333333334,0.17671445723374685,0.9379,0.21954957244694234,34.11914893617021,86,0.018692634999752045,0,0.011383333333333412,104.7,0.9365,0.22225617786943913,NVIDIA A100 80GB PCIe MIG 4g.40gb
