model,params,seed,epoch,tol,eval_tol,train_acc,train_loss,test_acc,test_loss,train_fwd_nfe,faithful_fwd_nfe,recon_rel,recon_ok,gap_acc,epoch_s,test_acc_at_tol,test_loss_at_tol,hardware
NODE,85316,2,1,0.001,0.001,0.8670666666666667,0.4430240699291229,0.9096,0.313463808631897,20.127659574468087,20,0.016594085842370987,0,-0.04253333333333331,72.6,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,85316,2,1,0.001,1e-05,0.8670666666666667,0.4430240699291229,0.9096,0.313463808631897,20.127659574468087,50,0.00048495421651750803,1,-0.04253333333333331,72.6,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,85316,2,1,0.001,1e-06,0.8670666666666667,0.4430240699291229,0.9096,0.313463808631897,20.127659574468087,92,0.00013613331248052418,1,-0.04253333333333331,72.6,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,85316,2,1,0.001,1e-07,0.8670666666666667,0.4430240699291229,0.9096,0.313463808631897,20.127659574468087,242,2.3317388695431873e-05,1,-0.04253333333333331,72.6,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,85316,2,2,0.001,0.001,0.9138,0.29576379979451495,0.9213,0.2651171976923943,22.961702127659574,32,0.014379125088453293,0,-0.007500000000000062,74.4,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,85316,2,2,0.001,1e-05,0.9138,0.29576379979451495,0.9213,0.2651171976923943,22.961702127659574,50,0.0005615076515823603,1,-0.007500000000000062,74.4,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,85316,2,2,0.001,1e-06,0.9138,0.29576379979451495,0.9213,0.2651171976923943,22.961702127659574,116,0.00010755420953501016,1,-0.007500000000000062,74.4,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,85316,2,2,0.001,1e-07,0.9138,0.29576379979451495,0.9213,0.2651171976923943,22.961702127659574,278,2.6512989279581234e-05,1,-0.007500000000000062,74.4,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,85316,2,3,0.001,0.001,0.9209333333333334,0.2705077997843425,0.925,0.24547582426071168,27.072340425531916,26,0.03774288296699524,0,-0.004066666666666663,76.7,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,85316,2,3,0.001,1e-05,0.9209333333333334,0.2705077997843425,0.925,0.24547582426071168,27.072340425531916,56,0.0006040259031578898,1,-0.004066666666666663,76.7,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,85316,2,3,0.001,1e-06,0.9209333333333334,0.2705077997843425,0.925,0.24547582426071168,27.072340425531916,98,0.00013702842989005148,1,-0.004066666666666663,76.7,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,85316,2,3,0.001,1e-07,0.9209333333333334,0.2705077997843425,0.925,0.24547582426071168,27.072340425531916,302,4.006987001048401e-05,1,-0.004066666666666663,76.7,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,85316,2,4,0.001,0.001,0.92645,0.25197614219983416,0.9319,0.2358183022737503,28.348936170212767,32,0.03295062109827995,0,-0.005449999999999955,75.8,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,85316,2,4,0.001,1e-05,0.92645,0.25197614219983416,0.9319,0.2358183022737503,28.348936170212767,56,0.0007939267088659108,1,-0.005449999999999955,75.8,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,85316,2,4,0.001,1e-06,0.92645,0.25197614219983416,0.9319,0.2358183022737503,28.348936170212767,110,0.00016502388461958617,1,-0.005449999999999955,75.8,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,85316,2,4,0.001,1e-07,0.92645,0.25197614219983416,0.9319,0.2358183022737503,28.348936170212767,296,4.7276116674765944e-05,1,-0.005449999999999955,75.8,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,85316,2,5,0.001,0.001,0.93015,0.23966008700529734,0.9352,0.22847344899177552,33.58297872340425,32,0.04751122370362282,0,-0.005049999999999999,80.2,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,85316,2,5,0.001,1e-05,0.93015,0.23966008700529734,0.9352,0.22847344899177552,33.58297872340425,56,0.002056990284472704,1,-0.005049999999999999,80.2,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,85316,2,5,0.001,1e-06,0.93015,0.23966008700529734,0.9352,0.22847344899177552,33.58297872340425,116,0.00042252358980476856,1,-0.005049999999999999,80.2,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,85316,2,5,0.001,1e-07,0.93015,0.23966008700529734,0.9352,0.22847344899177552,33.58297872340425,320,0.0001222028658958152,1,-0.005049999999999999,80.2,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,85316,2,6,0.001,0.001,0.9331666666666667,0.22799426203568776,0.9344,0.22184080650806426,36.41702127659575,38,0.064063161611557,0,-0.0012333333333333085,83.1,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,85316,2,6,0.001,1e-05,0.9331666666666667,0.22799426203568776,0.9344,0.22184080650806426,36.41702127659575,62,0.0030549552757292986,1,-0.0012333333333333085,83.1,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,85316,2,6,0.001,1e-06,0.9331666666666667,0.22799426203568776,0.9344,0.22184080650806426,36.41702127659575,140,0.0006239006179384887,1,-0.0012333333333333085,83.1,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,85316,2,6,0.001,1e-07,0.9331666666666667,0.22799426203568776,0.9344,0.22184080650806426,36.41702127659575,344,0.00017467010184191167,1,-0.0012333333333333085,83.1,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,85316,2,7,0.001,0.001,0.9386,0.21125867993036906,0.936,0.22102794005870818,35.34468085106383,32,0.17215140163898468,0,0.0025999999999999357,84.7,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,85316,2,7,0.001,1e-05,0.9386,0.21125867993036906,0.936,0.22102794005870818,35.34468085106383,74,0.002857884159311652,1,0.0025999999999999357,84.7,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,85316,2,7,0.001,1e-06,0.9386,0.21125867993036906,0.936,0.22102794005870818,35.34468085106383,134,0.0007100065122358501,1,0.0025999999999999357,84.7,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,85316,2,7,0.001,1e-07,0.9386,0.21125867993036906,0.936,0.22102794005870818,35.34468085106383,380,0.00015585863729938865,1,0.0025999999999999357,84.7,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,85316,2,8,0.001,0.001,0.94125,0.19910108046531677,0.9441,0.1966479433298111,35.49787234042553,38,0.2603064179420471,0,-0.002850000000000019,91.5,0.9441,0.1966479433298111,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,85316,2,8,0.001,1e-05,0.94125,0.19910108046531677,0.9441,0.1966479433298111,35.49787234042553,68,0.008354797959327698,1,-0.002850000000000019,91.5,0.9443,0.19618860131502153,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,85316,2,8,0.001,1e-06,0.94125,0.19910108046531677,0.9441,0.1966479433298111,35.49787234042553,164,0.001442187582142651,1,-0.002850000000000019,91.5,0.9442,0.19618716277480125,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,85316,2,8,0.001,1e-07,0.94125,0.19910108046531677,0.9441,0.1966479433298111,35.49787234042553,422,0.00044119369704276323,1,-0.002850000000000019,91.5,0.9443,0.19618772597312928,NVIDIA A100 80GB PCIe MIG 4g.40gb
ANODE-p5,85462,2,1,0.001,0.001,0.8805,0.42353010116418205,0.9249,0.26607338087558746,19.897872340425533,20,0.01549042109400034,0,-0.044400000000000106,47.3,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
ANODE-p5,85462,2,1,0.001,1e-05,0.8805,0.42353010116418205,0.9249,0.26607338087558746,19.897872340425533,38,0.001255550654605031,1,-0.044400000000000106,47.3,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
ANODE-p5,85462,2,1,0.001,1e-06,0.8805,0.42353010116418205,0.9249,0.26607338087558746,19.897872340425533,62,0.0002838484651874751,1,-0.044400000000000106,47.3,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
ANODE-p5,85462,2,1,0.001,1e-07,0.8805,0.42353010116418205,0.9249,0.26607338087558746,19.897872340425533,140,4.5439232053468004e-05,1,-0.044400000000000106,47.3,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
ANODE-p5,85462,2,2,0.001,0.001,0.9373166666666667,0.21976675901412965,0.9496,0.17706734306812286,20.0,20,0.018530432134866714,0,-0.012283333333333313,54.6,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
ANODE-p5,85462,2,2,0.001,1e-05,0.9373166666666667,0.21976675901412965,0.9496,0.17706734306812286,20.0,38,0.0015262296656146646,1,-0.012283333333333313,54.6,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
ANODE-p5,85462,2,2,0.001,1e-06,0.9373166666666667,0.21976675901412965,0.9496,0.17706734306812286,20.0,68,0.00042892698547802866,1,-0.012283333333333313,54.6,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
ANODE-p5,85462,2,2,0.001,1e-07,0.9373166666666667,0.21976675901412965,0.9496,0.17706734306812286,20.0,164,6.334143836284056e-05,1,-0.012283333333333313,54.6,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
ANODE-p5,85462,2,3,0.001,0.001,0.9602666666666667,0.13616679577430088,0.9679,0.11086796429753304,20.0,20,0.03897939622402191,0,-0.00763333333333327,54.2,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
ANODE-p5,85462,2,3,0.001,1e-05,0.9602666666666667,0.13616679577430088,0.9679,0.11086796429753304,20.0,44,0.00164771918207407,1,-0.00763333333333327,54.2,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
ANODE-p5,85462,2,3,0.001,1e-06,0.9602666666666667,0.13616679577430088,0.9679,0.11086796429753304,20.0,80,0.000421711039962247,1,-0.00763333333333327,54.2,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
ANODE-p5,85462,2,3,0.001,1e-07,0.9602666666666667,0.13616679577430088,0.9679,0.11086796429753304,20.0,194,7.637250382686034e-05,1,-0.00763333333333327,54.2,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
ANODE-p5,85462,2,4,0.001,0.001,0.9730333333333333,0.09031412583688896,0.9729,0.08329778881557286,20.0,20,0.14809826016426086,0,0.00013333333333331865,58.9,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
ANODE-p5,85462,2,4,0.001,1e-05,0.9730333333333333,0.09031412583688896,0.9729,0.08329778881557286,20.0,50,0.001968077151104808,1,0.00013333333333331865,58.9,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
ANODE-p5,85462,2,4,0.001,1e-06,0.9730333333333333,0.09031412583688896,0.9729,0.08329778881557286,20.0,86,0.0002918428217526525,1,0.00013333333333331865,58.9,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
ANODE-p5,85462,2,4,0.001,1e-07,0.9730333333333333,0.09031412583688896,0.9729,0.08329778881557286,20.0,200,0.00011383485252736136,1,0.00013333333333331865,58.9,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
ANODE-p5,85462,2,5,0.001,0.001,0.9774666666666667,0.0739402591586113,0.978,0.0713517781868577,25.387234042553192,32,0.031692024320364,0,-0.0005333333333332746,62.7,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
ANODE-p5,85462,2,5,0.001,1e-05,0.9774666666666667,0.0739402591586113,0.978,0.0713517781868577,25.387234042553192,44,0.0033247123938053846,1,-0.0005333333333332746,62.7,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
ANODE-p5,85462,2,5,0.001,1e-06,0.9774666666666667,0.0739402591586113,0.978,0.0713517781868577,25.387234042553192,86,0.0007421085028909147,1,-0.0005333333333332746,62.7,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
ANODE-p5,85462,2,5,0.001,1e-07,0.9774666666666667,0.0739402591586113,0.978,0.0713517781868577,25.387234042553192,218,0.00012773046910297126,1,-0.0005333333333332746,62.7,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
ANODE-p5,85462,2,6,0.001,0.001,0.9814833333333334,0.06031535455584526,0.9803,0.06484823598228395,30.391489361702128,32,0.04490242525935173,0,0.001183333333333425,66.1,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
ANODE-p5,85462,2,6,0.001,1e-05,0.9814833333333334,0.06031535455584526,0.9803,0.06484823598228395,30.391489361702128,50,0.0049742222763597965,1,0.001183333333333425,66.1,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
ANODE-p5,85462,2,6,0.001,1e-06,0.9814833333333334,0.06031535455584526,0.9803,0.06484823598228395,30.391489361702128,92,0.0007991537568159401,1,0.001183333333333425,66.1,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
ANODE-p5,85462,2,6,0.001,1e-07,0.9814833333333334,0.06031535455584526,0.9803,0.06484823598228395,30.391489361702128,224,0.00019402617181185633,1,0.001183333333333425,66.1,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
ANODE-p5,85462,2,7,0.001,0.001,0.9840333333333333,0.05179468261400859,0.9815,0.058320907754078506,31.387234042553192,32,0.23980869352817535,0,0.0025333333333332764,68.6,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
ANODE-p5,85462,2,7,0.001,1e-05,0.9840333333333333,0.05179468261400859,0.9815,0.058320907754078506,31.387234042553192,62,0.009395506232976913,1,0.0025333333333332764,68.6,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
ANODE-p5,85462,2,7,0.001,1e-06,0.9840333333333333,0.05179468261400859,0.9815,0.058320907754078506,31.387234042553192,92,0.0025213751941919327,1,0.0025333333333332764,68.6,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
ANODE-p5,85462,2,7,0.001,1e-07,0.9840333333333333,0.05179468261400859,0.9815,0.058320907754078506,31.387234042553192,248,0.0004449681146070361,1,0.0025333333333332764,68.6,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
ANODE-p5,85462,2,8,0.001,0.001,0.9860166666666667,0.044723023403684295,0.9794,0.07233823003619909,35.702127659574465,38,0.27756428718566895,0,0.006616666666666604,71.3,0.9794,0.07233823003619909,NVIDIA A100 80GB PCIe MIG 4g.40gb
ANODE-p5,85462,2,8,0.001,1e-05,0.9860166666666667,0.044723023403684295,0.9794,0.07233823003619909,35.702127659574465,62,0.011107051745057106,0,0.006616666666666604,71.3,0.9794,0.0725054328456521,NVIDIA A100 80GB PCIe MIG 4g.40gb
ANODE-p5,85462,2,8,0.001,1e-06,0.9860166666666667,0.044723023403684295,0.9794,0.07233823003619909,35.702127659574465,98,0.003006778657436371,1,0.006616666666666604,71.3,0.9794,0.07249320910945535,NVIDIA A100 80GB PCIe MIG 4g.40gb
ANODE-p5,85462,2,8,0.001,1e-07,0.9860166666666667,0.044723023403684295,0.9794,0.07233823003619909,35.702127659574465,272,0.0009529001545161009,1,0.006616666666666604,71.3,0.9794,0.07249605707898736,NVIDIA A100 80GB PCIe MIG 4g.40gb
