model_name,augment_dim,seed,epochs,lr,batch_size,ode_hidden_dim,n_samples,train_tol,train_mse_at_train_tol,train_nfe_at_train_tol,eval_tol,mse,fwd_nfe,recon_rel,recon_ok,capped,hardware
ANODE-p1,1,1,50,0.001,64,32,3000,0.001,2.000225549636525e-06,20.0,0.001,2.000225549636525e-06,20.0,0.004641624633222818,1,0,cpu
ANODE-p1,1,1,50,0.001,64,32,3000,0.001,2.000225549636525e-06,20.0,1e-05,2.2782519408792723e-06,44.0,0.0013628603192046285,1,0,cpu
ANODE-p1,1,1,50,0.001,64,32,3000,0.001,2.000225549636525e-06,20.0,1e-06,2.431727125440375e-06,68.0,0.00031962626962922513,1,0,cpu
ANODE-p1,1,1,50,0.001,64,32,3000,0.001,2.000225549636525e-06,20.0,1e-07,2.489943426553509e-06,200.0,4.116387208341621e-05,1,0,cpu
ANODE-p1,1,1,50,0.001,64,32,3000,0.001,2.000225549636525e-06,20.0,1e-08,2.4902994937292533e-06,386.0,1.345017062703846e-05,1,0,cpu
ANODE-p1,1,1,50,0.001,64,32,3000,0.001,2.000225549636525e-06,20.0,1e-09,2.490415681677405e-06,848.0,3.558969638106646e-06,1,0,cpu
ANODE-p1,1,2,50,0.001,64,32,3000,0.001,6.618377483391669e-06,20.0,0.001,6.618377483391669e-06,20.0,0.01855645328760147,0,0,cpu
ANODE-p1,1,2,50,0.001,64,32,3000,0.001,6.618377483391669e-06,20.0,1e-05,6.171926997922128e-06,44.0,0.001330898841843009,1,0,cpu
ANODE-p1,1,2,50,0.001,64,32,3000,0.001,6.618377483391669e-06,20.0,1e-06,5.397216227720492e-06,98.0,0.00030963035533204675,1,0,cpu
ANODE-p1,1,2,50,0.001,64,32,3000,0.001,6.618377483391669e-06,20.0,1e-07,5.446260274766246e-06,206.0,8.64562316564843e-05,1,0,cpu
ANODE-p1,1,2,50,0.001,64,32,3000,0.001,6.618377483391669e-06,20.0,1e-08,5.4779115998826455e-06,494.0,1.4839628420304507e-05,1,0,cpu
ANODE-p1,1,2,50,0.001,64,32,3000,0.001,6.618377483391669e-06,20.0,1e-09,5.477449121826794e-06,1094.0,3.011914486705791e-06,1,0,cpu
ANODE-p1,1,3,50,0.001,64,32,3000,0.001,4.946219178236788e-06,20.0,0.001,4.946219178236788e-06,20.0,0.010417158715426922,0,0,cpu
ANODE-p1,1,3,50,0.001,64,32,3000,0.001,4.946219178236788e-06,20.0,1e-05,3.310564352432266e-05,44.0,0.001238037715665996,1,0,cpu
ANODE-p1,1,3,50,0.001,64,32,3000,0.001,4.946219178236788e-06,20.0,1e-06,3.366191958775744e-05,92.0,0.0002579606371000409,1,0,cpu
ANODE-p1,1,3,50,0.001,64,32,3000,0.001,4.946219178236788e-06,20.0,1e-07,3.350563201820478e-05,206.0,4.4307689677225426e-05,1,0,cpu
ANODE-p1,1,3,50,0.001,64,32,3000,0.001,4.946219178236788e-06,20.0,1e-08,3.3461728889960796e-05,494.0,1.0356729035265744e-05,1,0,cpu
ANODE-p1,1,3,50,0.001,64,32,3000,0.001,4.946219178236788e-06,20.0,1e-09,3.345863660797477e-05,1076.0,3.589748075683019e-06,1,0,cpu
ANODE-p1,1,4,50,0.001,64,32,3000,0.001,2.601107189548202e-05,20.0,0.001,2.601107189548202e-05,20.0,0.008453992195427418,1,0,cpu
ANODE-p1,1,4,50,0.001,64,32,3000,0.001,2.601107189548202e-05,20.0,1e-05,2.6301788238924928e-05,38.0,0.0012205808889120817,1,0,cpu
ANODE-p1,1,4,50,0.001,64,32,3000,0.001,2.601107189548202e-05,20.0,1e-06,2.804013274726458e-05,92.0,0.00032949887099675834,1,0,cpu
ANODE-p1,1,4,50,0.001,64,32,3000,0.001,2.601107189548202e-05,20.0,1e-07,2.7534353648661636e-05,218.0,5.180877633392811e-05,1,0,cpu
ANODE-p1,1,4,50,0.001,64,32,3000,0.001,2.601107189548202e-05,20.0,1e-08,2.7548358048079535e-05,452.0,1.776516182872001e-05,1,0,cpu
ANODE-p1,1,4,50,0.001,64,32,3000,0.001,2.601107189548202e-05,20.0,1e-09,2.754786873992998e-05,986.0,6.262900569709018e-06,1,0,cpu
