model,params,seed,epoch,train_tol,eval_tol,train_acc,train_loss,test_acc,test_loss,train_fwd_nfe,eval_fwd_nfe,recon_rel,recon_ok,gap_acc,epoch_s,test_acc_at_tol,test_loss_at_tol,hardware
NODE,173611,4,1,0.001,0.001,0.37774,1.780327209815979,0.4138,1.6629329839706422,19.96938775510204,20,0.008002366870641708,1,-0.03605999999999998,134.0,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,173611,4,1,0.001,1e-05,0.37774,1.780327209815979,0.4138,1.6629329839706422,19.96938775510204,38,0.0004329369112383574,1,-0.03605999999999998,134.0,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,173611,4,1,0.001,1e-06,0.37774,1.780327209815979,0.4138,1.6629329839706422,19.96938775510204,62,8.416313357884064e-05,1,-0.03605999999999998,134.0,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,173611,4,1,0.001,1e-07,0.37774,1.780327209815979,0.4138,1.6629329839706422,19.96938775510204,122,1.4099351574259344e-05,1,-0.03605999999999998,134.0,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,173611,4,2,0.001,0.001,0.43498,1.6176679663085938,0.4271,1.6217861688613893,20.0,20,0.005600535310804844,1,0.007879999999999998,163.7,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,173611,4,2,0.001,1e-05,0.43498,1.6176679663085938,0.4271,1.6217861688613893,20.0,38,0.0005527461762540042,1,0.007879999999999998,163.7,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,173611,4,2,0.001,1e-06,0.43498,1.6176679663085938,0.4271,1.6217861688613893,20.0,68,7.639212708454579e-05,1,0.007879999999999998,163.7,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,173611,4,2,0.001,1e-07,0.43498,1.6176679663085938,0.4271,1.6217861688613893,20.0,134,1.7068974557332695e-05,1,0.007879999999999998,163.7,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,173611,4,3,0.001,0.001,0.45,1.5765128369903565,0.449,1.5686070848464966,20.0,20,0.020651785656809807,0,0.0010000000000000009,190.3,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,173611,4,3,0.001,1e-05,0.45,1.5765128369903565,0.449,1.5686070848464966,20.0,38,0.0005099554546177387,1,0.0010000000000000009,190.3,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,173611,4,3,0.001,1e-06,0.45,1.5765128369903565,0.449,1.5686070848464966,20.0,68,0.0001086371048586443,1,0.0010000000000000009,190.3,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,173611,4,3,0.001,1e-07,0.45,1.5765128369903565,0.449,1.5686070848464966,20.0,146,1.7261083485209383e-05,1,0.0010000000000000009,190.3,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,173611,4,4,0.001,0.001,0.46492,1.5244863767242431,0.454,1.546702312850952,20.0,20,0.03837773576378822,0,0.010919999999999985,190.9,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,173611,4,4,0.001,1e-05,0.46492,1.5244863767242431,0.454,1.546702312850952,20.0,44,0.0007834440330043435,1,0.010919999999999985,190.9,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,173611,4,4,0.001,1e-06,0.46492,1.5244863767242431,0.454,1.546702312850952,20.0,74,0.0001209679467137903,1,0.010919999999999985,190.9,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,173611,4,4,0.001,1e-07,0.46492,1.5244863767242431,0.454,1.546702312850952,20.0,170,1.8841228666133247e-05,1,0.010919999999999985,190.9,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,173611,4,5,0.001,0.001,0.4828,1.4579622397994996,0.4702,1.4803527297973633,20.0,20,0.19910885393619537,0,0.0126,194.9,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,173611,4,5,0.001,1e-05,0.4828,1.4579622397994996,0.4702,1.4803527297973633,20.0,44,0.0007946626865305007,1,0.0126,194.9,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,173611,4,5,0.001,1e-06,0.4828,1.4579622397994996,0.4702,1.4803527297973633,20.0,80,8.26192699605599e-05,1,0.0126,194.9,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,173611,4,5,0.001,1e-07,0.4828,1.4579622397994996,0.4702,1.4803527297973633,20.0,188,1.7978825781028718e-05,1,0.0126,194.9,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,173611,4,6,0.001,0.001,0.50324,1.3976746439743042,0.4842,1.4449256984710694,21.622448979591837,26,0.0756194218993187,0,0.01904,197.0,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,173611,4,6,0.001,1e-05,0.50324,1.3976746439743042,0.4842,1.4449256984710694,21.622448979591837,50,0.0007451893179677427,1,0.01904,197.0,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,173611,4,6,0.001,1e-06,0.50324,1.3976746439743042,0.4842,1.4449256984710694,21.622448979591837,92,0.00010556658526184037,1,0.01904,197.0,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,173611,4,6,0.001,1e-07,0.50324,1.3976746439743042,0.4842,1.4449256984710694,21.622448979591837,206,1.918066482176073e-05,1,0.01904,197.0,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,173611,4,7,0.001,0.001,0.52826,1.3265904188537598,0.4988,1.3894113775253296,26.0,26,0.047637030482292175,0,0.02945999999999993,202.3,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
NODE,173611,4,7,0.001,1e-05,0.52826,1.3265904188537598,0.4988,1.3894113775253296,26.0,50,0.001430625095963478,1,0.02945999999999993,202.3,nan,nan,NVIDIA A100 80GB PCIe MIG 4g.40gb
