model,params,seed,epoch,train_tol,eval_tol,train_acc,train_loss,test_acc,test_loss,train_fwd_nfe,eval_fwd_nfe,recon_rel,recon_ok,gap_acc,epoch_s
NODE,173611,1,3,0.001,1e-07,0.46194,1.536605971031189,0.4604,1.5049421752929688,21.193877551020407,320,3.85207895305939e-05,1,0.0015400000000000413,152.1
NODE,173611,1,4,0.001,1e-05,0.4813,1.4564284749603271,0.4702,1.4844659433364868,20.03061224489796,50,0.00045241875341162086,1,0.011099999999999999,138.9
NODE,173611,1,4,0.001,1e-06,0.4813,1.4564284749603271,0.4702,1.4844659433364868,20.03061224489796,86,0.00017162699077744037,1,0.011099999999999999,138.9
NODE,173611,1,4,0.001,1e-07,0.4813,1.4564284749603271,0.4702,1.4844659433364868,20.03061224489796,308,3.2902979000937194e-05,1,0.011099999999999999,138.9
NODE,173611,1,5,0.001,1e-05,0.50548,1.3910969805145263,0.4885,1.4329071834564209,20.0,50,0.0006705225096084177,1,0.01698000000000005,117.2
NODE,173611,1,5,0.001,1e-06,0.50548,1.3910969805145263,0.4885,1.4329071834564209,20.0,98,0.00012474512914195657,1,0.01698000000000005,117.2
NODE,173611,1,5,0.001,1e-07,0.50548,1.3910969805145263,0.4885,1.4329071834564209,20.0,344,3.684438343043439e-05,1,0.01698000000000005,117.2
NODE,173611,1,6,0.001,1e-05,0.52474,1.3383914665603638,0.4911,1.411224115371704,21.897959183673468,50,0.0008466162253171206,1,0.03364,123.0
NODE,173611,1,6,0.001,1e-06,0.52474,1.3383914665603638,0.4911,1.411224115371704,21.897959183673468,98,0.00014100551197770983,1,0.03364,123.0
NODE,173611,1,6,0.001,1e-07,0.52474,1.3383914665603638,0.4911,1.411224115371704,21.897959183673468,410,3.136983286822215e-05,1,0.03364,123.0
NODE,173611,1,7,0.001,1e-05,0.54628,1.2767687100982665,0.5193,1.3368167079925537,26.183673469387756,56,0.0008927493472583592,1,0.026980000000000004,180.3
NODE,173611,1,7,0.001,1e-06,0.54628,1.2767687100982665,0.5193,1.3368167079925537,26.183673469387756,110,0.00018578207527752966,1,0.026980000000000004,180.3
NODE,173611,1,7,0.001,1e-07,0.54628,1.2767687100982665,0.5193,1.3368167079925537,26.183673469387756,434,6.302510155364871e-05,1,0.026980000000000004,180.3
NODE,173611,1,8,0.001,1e-05,0.57056,1.2084494157791137,0.5264,1.3272001314163209,26.0,56,0.0008188358042389154,1,0.04415999999999998,196.2
NODE,173611,1,8,0.001,1e-06,0.57056,1.2084494157791137,0.5264,1.3272001314163209,26.0,116,0.0001605058932909742,1,0.04415999999999998,196.2
NODE,173611,1,8,0.001,1e-07,0.57056,1.2084494157791137,0.5264,1.3272001314163209,26.0,464,4.1379058529855683e-05,1,0.04415999999999998,196.2
NODE,173611,1,9,0.001,1e-05,0.59384,1.1502335696029664,0.536,1.3241147985458375,26.0,62,0.0006149705732241273,1,0.05784,202.1
NODE,173611,1,9,0.001,1e-06,0.59384,1.1502335696029664,0.536,1.3241147985458375,26.0,122,0.00016155096818692982,1,0.05784,202.1
NODE,173611,1,9,0.001,1e-07,0.59384,1.1502335696029664,0.536,1.3241147985458375,26.0,452,9.024577593663707e-05,1,0.05784,202.1
NODE,173611,1,10,0.001,1e-05,0.60828,1.1088558856582642,0.5448,1.2811921810150146,26.0,62,0.0006709530134685338,1,0.06348000000000009,198.6
NODE,173611,1,10,0.001,1e-06,0.60828,1.1088558856582642,0.5448,1.2811921810150146,26.0,122,0.00014982072752900422,1,0.06348000000000009,198.6
NODE,173611,1,10,0.001,1e-07,0.60828,1.1088558856582642,0.5448,1.2811921810150146,26.0,440,5.6282566220033914e-05,1,0.06348000000000009,198.6
NODE,173611,2,1,0.001,1e-05,0.37904,1.7659525107574463,0.4192,1.6497976572036743,20.0,38,0.0005012509063817561,1,-0.04016000000000003,118.8
NODE,173611,2,1,0.001,1e-06,0.37904,1.7659525107574463,0.4192,1.6497976572036743,20.0,74,9.927069186232984e-05,1,-0.04016000000000003,118.8
NODE,173611,2,1,0.001,1e-07,0.37904,1.7659525107574463,0.4192,1.6497976572036743,20.0,212,2.6860787329496816e-05,1,-0.04016000000000003,118.8
NODE,173611,2,2,0.001,1e-05,0.4429,1.5882978509521484,0.4399,1.5666987321853638,20.0,38,0.0004901498323306441,1,0.0030000000000000027,148.1
NODE,173611,2,2,0.001,1e-06,0.4429,1.5882978509521484,0.4399,1.5666987321853638,20.0,68,9.534628043184057e-05,1,0.0030000000000000027,148.1
NODE,173611,2,2,0.001,1e-07,0.4429,1.5882978509521484,0.4399,1.5666987321853638,20.0,242,3.647718403954059e-05,1,0.0030000000000000027,148.1
NODE,173611,2,3,0.001,1e-05,0.46478,1.5087975718688964,0.4679,1.4760056985855103,20.0,44,0.000470818136818707,1,-0.003119999999999956,157.7
NODE,173611,2,3,0.001,1e-06,0.46478,1.5087975718688964,0.4679,1.4760056985855103,20.0,80,0.00010722991282818839,1,-0.003119999999999956,157.7
NODE,173611,2,3,0.001,1e-07,0.46478,1.5087975718688964,0.4679,1.4760056985855103,20.0,248,5.787367990706116e-05,1,-0.003119999999999956,157.7
NODE,173611,2,4,0.001,1e-05,0.49674,1.4191886296844483,0.4812,1.4356442434310912,20.0,44,0.0004605972208082676,1,0.015539999999999998,152.6
NODE,173611,2,4,0.001,1e-06,0.49674,1.4191886296844483,0.4812,1.4356442434310912,20.0,92,0.00011778446787502617,1,0.015539999999999998,152.6
NODE,173611,2,4,0.001,1e-07,0.49674,1.4191886296844483,0.4812,1.4356442434310912,20.0,284,2.3575403247377835e-05,1,0.015539999999999998,152.6
NODE,173611,2,5,0.001,1e-05,0.52814,1.3235504176330566,0.5255,1.327150344657898,21.163265306122447,50,0.0006061744061298668,1,0.0026400000000000867,158.6
NODE,173611,2,5,0.001,1e-06,0.52814,1.3235504176330566,0.5255,1.327150344657898,21.163265306122447,104,0.00011007268767571077,1,0.0026400000000000867,158.6
NODE,173611,2,5,0.001,1e-07,0.52814,1.3235504176330566,0.5255,1.327150344657898,21.163265306122447,392,3.187565744156018e-05,1,0.0026400000000000867,158.6
NODE,173611,2,6,0.001,1e-05,0.56064,1.2391660996246339,0.5238,1.317800811958313,25.908163265306122,56,0.0005307919927872717,1,0.036839999999999984,160.8
NODE,173611,2,6,0.001,1e-06,0.56064,1.2391660996246339,0.5238,1.317800811958313,25.908163265306122,110,0.00011840639490401372,1,0.036839999999999984,160.8
NODE,173611,2,6,0.001,1e-07,0.56064,1.2391660996246339,0.5238,1.317800811958313,25.908163265306122,398,3.120582186966203e-05,1,0.036839999999999984,160.8
NODE,173611,2,7,0.001,1e-05,0.58244,1.181526933517456,0.5428,1.2810655261993409,26.0,56,0.0005784604582004249,1,0.03964000000000001,167.5
NODE,173611,2,7,0.001,1e-06,0.58244,1.181526933517456,0.5428,1.2810655261993409,26.0,116,0.0001258688571397215,1,0.03964000000000001,167.5
NODE,173611,2,7,0.001,1e-07,0.58244,1.181526933517456,0.5428,1.2810655261993409,26.0,374,3.925670898752287e-05,1,0.03964000000000001,167.5
NODE,173611,2,8,0.001,1e-05,0.6018,1.130124709148407,0.5313,1.3074396629333496,26.0,56,0.0005319851916283369,1,0.07050000000000001,188.0
NODE,173611,2,8,0.001,1e-06,0.6018,1.130124709148407,0.5313,1.3074396629333496,26.0,116,0.00019988155690953135,1,0.07050000000000001,188.0
NODE,173611,2,8,0.001,1e-07,0.6018,1.130124709148407,0.5313,1.3074396629333496,26.0,404,9.077131107915193e-05,1,0.07050000000000001,188.0
NODE,173611,2,9,0.001,1e-05,0.61536,1.0938818484687804,0.5427,1.2794383377075196,26.0,62,0.0006459241849370301,1,0.07266000000000006,199.8
NODE,173611,2,9,0.001,1e-06,0.61536,1.0938818484687804,0.5427,1.2794383377075196,26.0,122,0.00016477188910357654,1,0.07266000000000006,199.8
NODE,173611,2,9,0.001,1e-07,0.61536,1.0938818484687804,0.5427,1.2794383377075196,26.0,476,4.624615758075379e-05,1,0.07266000000000006,199.8
NODE,173611,2,10,0.001,1e-05,0.62248,1.0666258909606934,0.5301,1.3151220962524415,26.0,62,0.0006176495226100087,1,0.09238000000000002,193.5
NODE,173611,2,10,0.001,1e-06,0.62248,1.0666258909606934,0.5301,1.3151220962524415,26.0,128,0.00012822043208871037,1,0.09238000000000002,193.5
NODE,173611,2,10,0.001,1e-07,0.62248,1.0666258909606934,0.5301,1.3151220962524415,26.0,482,0.00021787307923659682,1,0.09238000000000002,193.5
NODE,173611,3,1,0.001,1e-05,0.37982,1.7575840157318114,0.4218,1.6303943355560302,20.0,38,0.000634332187473774,1,-0.04198000000000002,113.3
NODE,173611,3,1,0.001,1e-06,0.37982,1.7575840157318114,0.4218,1.6303943355560302,20.0,68,9.67495288932696e-05,1,-0.04198000000000002,113.3
NODE,173611,3,1,0.001,1e-07,0.37982,1.7575840157318114,0.4218,1.6303943355560302,20.0,236,5.0404280045768246e-05,1,-0.04198000000000002,113.3
NODE,173611,3,2,0.001,1e-05,0.44048,1.597425394973755,0.4432,1.589185108757019,20.0,38,0.0008026366122066975,1,-0.00272,131.3
NODE,173611,3,2,0.001,1e-06,0.44048,1.597425394973755,0.4432,1.589185108757019,20.0,74,0.0001521483645774424,1,-0.00272,131.3
NODE,173611,3,2,0.001,1e-07,0.44048,1.597425394973755,0.4432,1.589185108757019,20.0,254,2.5126362743321806e-05,1,-0.00272,131.3
NODE,173611,3,3,0.001,1e-05,0.4657,1.5151941414260863,0.4533,1.5267554862976074,20.0,44,0.000981402350589633,1,0.012400000000000022,133.1
NODE,173611,3,3,0.001,1e-06,0.4657,1.5151941414260863,0.4533,1.5267554862976074,20.0,86,0.00016174725897144526,1,0.012400000000000022,133.1
NODE,173611,3,3,0.001,1e-07,0.4657,1.5151941414260863,0.4533,1.5267554862976074,20.0,260,5.193230390432291e-05,1,0.012400000000000022,133.1
NODE,173611,3,4,0.001,1e-05,0.48998,1.4272561784362794,0.4821,1.4426559392929077,20.0,44,0.0006486829370260239,1,0.007880000000000054,133.0
NODE,173611,3,4,0.001,1e-06,0.48998,1.4272561784362794,0.4821,1.4426559392929077,20.0,86,0.0001297209382755682,1,0.007880000000000054,133.0
NODE,173611,3,4,0.001,1e-07,0.48998,1.4272561784362794,0.4821,1.4426559392929077,20.0,302,8.469683962175623e-05,1,0.007880000000000054,133.0
NODE,173611,3,5,0.001,1e-05,0.51206,1.3696337481307983,0.4969,1.3978896484375,20.091836734693878,50,0.0011666719801723957,1,0.015159999999999951,138.8
NODE,173611,3,5,0.001,1e-06,0.51206,1.3696337481307983,0.4969,1.3978896484375,20.091836734693878,92,0.00021651065617334098,1,0.015159999999999951,138.8
NODE,173611,3,5,0.001,1e-07,0.51206,1.3696337481307983,0.4969,1.3978896484375,20.091836734693878,332,9.149133984465152e-05,1,0.015159999999999951,138.8
NODE,173611,3,6,0.001,1e-05,0.53956,1.2939391069793702,0.5096,1.374477746772766,20.153061224489797,50,0.0008513946668244898,1,0.029959999999999987,146.5
NODE,173611,3,6,0.001,1e-06,0.53956,1.2939391069793702,0.5096,1.374477746772766,20.153061224489797,104,0.00034427677746862173,1,0.029959999999999987,146.5
NODE,173611,3,6,0.001,1e-07,0.53956,1.2939391069793702,0.5096,1.374477746772766,20.153061224489797,374,5.2690476877614856e-05,1,0.029959999999999987,146.5
NODE,173611,3,7,0.001,1e-05,0.56682,1.2189540970230102,0.5321,1.310618980026245,24.56122448979592,56,0.00048220137250609696,1,0.03471999999999997,160.2
NODE,173611,3,7,0.001,1e-06,0.56682,1.2189540970230102,0.5321,1.310618980026245,24.56122448979592,110,0.00015014701057225466,1,0.03471999999999997,160.2
NODE,173611,3,7,0.001,1e-07,0.56682,1.2189540970230102,0.5321,1.310618980026245,24.56122448979592,392,7.732502854196355e-05,1,0.03471999999999997,160.2
NODE,173611,3,8,0.001,1e-05,0.58928,1.1638248360061645,0.5364,1.3103125461578369,26.0,56,0.0007262111757881939,1,0.05288000000000004,163.1
NODE,173611,3,8,0.001,1e-06,0.58928,1.1638248360061645,0.5364,1.3103125461578369,26.0,116,0.00020408039563335478,1,0.05288000000000004,163.1
NODE,173611,3,8,0.001,1e-07,0.58928,1.1638248360061645,0.5364,1.3103125461578369,26.0,386,4.2021456465590745e-05,1,0.05288000000000004,163.1
NODE,173611,3,9,0.001,1e-05,0.6043,1.1178397663116455,0.5319,1.3024311191558837,26.0,56,0.0004800262104254216,1,0.07239999999999991,165.4
NODE,173611,3,9,0.001,1e-06,0.6043,1.1178397663116455,0.5319,1.3024311191558837,26.0,116,0.0002096616372000426,1,0.07239999999999991,165.4
NODE,173611,3,9,0.001,1e-07,0.6043,1.1178397663116455,0.5319,1.3024311191558837,26.0,398,3.8319340092130005e-05,1,0.07239999999999991,165.4
