model,params,seed,epoch,train_tol,eval_tol,train_acc,train_loss,test_acc,test_loss,train_fwd_nfe,eval_fwd_nfe,recon_rel,recon_ok,gap_acc,epoch_s,test_acc_at_tol,test_loss_at_tol,hardware
NODE,173611,1,1,0.001,0.001,0.3749,1.7689653189468384,0.433,1.6134523607254028,19.96938775510204,20,0.006360223516821861,1,-0.058099999999999985,182.0,nan,nan,NVIDIA A100 80GB PCIe MIG 3g.40gb
NODE,173611,1,1,0.001,1e-05,0.3749,1.7689653189468384,0.433,1.6134523607254028,19.96938775510204,38,0.0004062489897478372,1,-0.058099999999999985,182.0,nan,nan,NVIDIA A100 80GB PCIe MIG 3g.40gb
NODE,173611,1,1,0.001,1e-06,0.3749,1.7689653189468384,0.433,1.6134523607254028,19.96938775510204,62,0.00011710664693964645,1,-0.058099999999999985,182.0,nan,nan,NVIDIA A100 80GB PCIe MIG 3g.40gb
NODE,173611,1,1,0.001,1e-07,0.3749,1.7689653189468384,0.433,1.6134523607254028,19.96938775510204,134,1.582281220180448e-05,1,-0.058099999999999985,182.0,nan,nan,NVIDIA A100 80GB PCIe MIG 3g.40gb
NODE,173611,1,2,0.001,0.001,0.44338,1.5917488932037354,0.4419,1.578762854385376,23.153061224489797,26,0.01052090898156166,0,0.0014799999999999813,210.0,nan,nan,NVIDIA A100 80GB PCIe MIG 3g.40gb
NODE,173611,1,2,0.001,1e-05,0.44338,1.5917488932037354,0.4419,1.578762854385376,23.153061224489797,44,0.0007030452834442258,1,0.0014799999999999813,210.0,nan,nan,NVIDIA A100 80GB PCIe MIG 3g.40gb
NODE,173611,1,2,0.001,1e-06,0.44338,1.5917488932037354,0.4419,1.578762854385376,23.153061224489797,80,0.00012523893383331597,1,0.0014799999999999813,210.0,nan,nan,NVIDIA A100 80GB PCIe MIG 3g.40gb
NODE,173611,1,2,0.001,1e-07,0.44338,1.5917488932037354,0.4419,1.578762854385376,23.153061224489797,164,1.7297645172220655e-05,1,0.0014799999999999813,210.0,nan,nan,NVIDIA A100 80GB PCIe MIG 3g.40gb
NODE,173611,1,3,0.001,0.001,0.47118,1.5035050281143187,0.4702,1.478219134902954,21.316326530612244,20,0.03365537151694298,0,0.0009799999999999809,201.5,nan,nan,NVIDIA A100 80GB PCIe MIG 3g.40gb
NODE,173611,1,3,0.001,1e-05,0.47118,1.5035050281143187,0.4702,1.478219134902954,21.316326530612244,50,0.0009264323743991554,1,0.0009799999999999809,201.5,nan,nan,NVIDIA A100 80GB PCIe MIG 3g.40gb
NODE,173611,1,3,0.001,1e-06,0.47118,1.5035050281143187,0.4702,1.478219134902954,21.316326530612244,80,0.0001411436969647184,1,0.0009799999999999809,201.5,nan,nan,NVIDIA A100 80GB PCIe MIG 3g.40gb
NODE,173611,1,3,0.001,1e-07,0.47118,1.5035050281143187,0.4702,1.478219134902954,21.316326530612244,182,3.037862370547373e-05,1,0.0009799999999999809,201.5,nan,nan,NVIDIA A100 80GB PCIe MIG 3g.40gb
