model,params,seed,epoch,train_tol,eval_tol,train_acc,train_loss,test_acc,test_loss,train_fwd_nfe,eval_fwd_nfe,recon_rel,recon_ok,gap_acc,epoch_s,test_acc_at_tol,test_loss_at_tol,hardware
NODE,173611,2,1,0.001,0.001,0.37856,1.770853929786682,0.4276,1.6280188888549805,19.96938775510204,20,0.005204584915190935,1,-0.04903999999999997,165.1,nan,nan,NVIDIA A100 80GB PCIe MIG 3g.40gb
NODE,173611,2,1,0.001,1e-05,0.37856,1.770853929786682,0.4276,1.6280188888549805,19.96938775510204,38,0.00040197462658397853,1,-0.04903999999999997,165.1,nan,nan,NVIDIA A100 80GB PCIe MIG 3g.40gb
NODE,173611,2,1,0.001,1e-06,0.37856,1.770853929786682,0.4276,1.6280188888549805,19.96938775510204,62,9.290091111324728e-05,1,-0.04903999999999997,165.1,nan,nan,NVIDIA A100 80GB PCIe MIG 3g.40gb
NODE,173611,2,1,0.001,1e-07,0.37856,1.770853929786682,0.4276,1.6280188888549805,19.96938775510204,128,1.620526563783642e-05,1,-0.04903999999999997,165.1,nan,nan,NVIDIA A100 80GB PCIe MIG 3g.40gb
NODE,173611,2,2,0.001,0.001,0.4418,1.5914604705429076,0.4404,1.5690293260574342,20.0,20,0.005681406706571579,1,0.0014000000000000123,203.6,nan,nan,NVIDIA A100 80GB PCIe MIG 3g.40gb
NODE,173611,2,2,0.001,1e-05,0.4418,1.5914604705429076,0.4404,1.5690293260574342,20.0,38,0.0004844259237870574,1,0.0014000000000000123,203.6,nan,nan,NVIDIA A100 80GB PCIe MIG 3g.40gb
NODE,173611,2,2,0.001,1e-06,0.4418,1.5914604705429076,0.4404,1.5690293260574342,20.0,68,8.289627294288948e-05,1,0.0014000000000000123,203.6,nan,nan,NVIDIA A100 80GB PCIe MIG 3g.40gb
NODE,173611,2,2,0.001,1e-07,0.4418,1.5914604705429076,0.4404,1.5690293260574342,20.0,140,1.4229266525944695e-05,1,0.0014000000000000123,203.6,nan,nan,NVIDIA A100 80GB PCIe MIG 3g.40gb
NODE,173611,2,3,0.001,0.001,0.46578,1.513724298553467,0.4659,1.4782054359436034,20.0,20,0.008242369629442692,1,-0.00011999999999995348,211.8,nan,nan,NVIDIA A100 80GB PCIe MIG 3g.40gb
NODE,173611,2,3,0.001,1e-05,0.46578,1.513724298553467,0.4659,1.4782054359436034,20.0,44,0.0005036075599491596,1,-0.00011999999999995348,211.8,nan,nan,NVIDIA A100 80GB PCIe MIG 3g.40gb
NODE,173611,2,3,0.001,1e-06,0.46578,1.513724298553467,0.4659,1.4782054359436034,20.0,74,0.00011549369810381904,1,-0.00011999999999995348,211.8,nan,nan,NVIDIA A100 80GB PCIe MIG 3g.40gb
NODE,173611,2,3,0.001,1e-07,0.46578,1.513724298553467,0.4659,1.4782054359436034,20.0,158,2.2822738173999824e-05,1,-0.00011999999999995348,211.8,nan,nan,NVIDIA A100 80GB PCIe MIG 3g.40gb
NODE,173611,2,4,0.001,0.001,0.48932,1.4317712285614013,0.4691,1.477254187965393,20.0,20,0.03250230848789215,0,0.02021999999999996,207.4,nan,nan,NVIDIA A100 80GB PCIe MIG 3g.40gb
NODE,173611,2,4,0.001,1e-05,0.48932,1.4317712285614013,0.4691,1.477254187965393,20.0,44,0.0005823250394314528,1,0.02021999999999996,207.4,nan,nan,NVIDIA A100 80GB PCIe MIG 3g.40gb
NODE,173611,2,4,0.001,1e-06,0.48932,1.4317712285614013,0.4691,1.477254187965393,20.0,80,0.00019421253819018602,1,0.02021999999999996,207.4,nan,nan,NVIDIA A100 80GB PCIe MIG 3g.40gb
NODE,173611,2,4,0.001,1e-07,0.48932,1.4317712285614013,0.4691,1.477254187965393,20.0,176,1.8919170543085784e-05,1,0.02021999999999996,207.4,nan,nan,NVIDIA A100 80GB PCIe MIG 3g.40gb
NODE,173611,2,5,0.001,0.001,0.5142,1.3593981784820557,0.5129,1.368728946685791,20.0,20,0.058432720601558685,0,0.0012999999999999678,203.7,nan,nan,NVIDIA A100 80GB PCIe MIG 3g.40gb
NODE,173611,2,5,0.001,1e-05,0.5142,1.3593981784820557,0.5129,1.368728946685791,20.0,50,0.0006076323334127665,1,0.0012999999999999678,203.7,nan,nan,NVIDIA A100 80GB PCIe MIG 3g.40gb
NODE,173611,2,5,0.001,1e-06,0.5142,1.3593981784820557,0.5129,1.368728946685791,20.0,92,0.00012157499440945685,1,0.0012999999999999678,203.7,nan,nan,NVIDIA A100 80GB PCIe MIG 3g.40gb
NODE,173611,2,5,0.001,1e-07,0.5142,1.3593981784820557,0.5129,1.368728946685791,20.0,212,1.9278506442788057e-05,1,0.0012999999999999678,203.7,nan,nan,NVIDIA A100 80GB PCIe MIG 3g.40gb
NODE,173611,2,6,0.001,0.001,0.54724,1.2721141167068482,0.5196,1.3323541927337645,22.387755102040817,26,0.10401935875415802,0,0.027639999999999998,213.6,nan,nan,NVIDIA A100 80GB PCIe MIG 3g.40gb
NODE,173611,2,6,0.001,1e-05,0.54724,1.2721141167068482,0.5196,1.3323541927337645,22.387755102040817,50,0.0006368061876855791,1,0.027639999999999998,213.6,nan,nan,NVIDIA A100 80GB PCIe MIG 3g.40gb
NODE,173611,2,6,0.001,1e-06,0.54724,1.2721141167068482,0.5196,1.3323541927337645,22.387755102040817,98,9.73610149230808e-05,1,0.027639999999999998,213.6,nan,nan,NVIDIA A100 80GB PCIe MIG 3g.40gb
NODE,173611,2,6,0.001,1e-07,0.54724,1.2721141167068482,0.5196,1.3323541927337645,22.387755102040817,230,1.8823504433385096e-05,1,0.027639999999999998,213.6,nan,nan,NVIDIA A100 80GB PCIe MIG 3g.40gb
