field,seed,trained,solver,tol,adjoint_tol,fwd_nfe,bwd_nfe,ratio,recon_rel,recon_ok,grad_reldiff,grad_ok,wall_s,capped,ref_tol,hardware
mnist,0,1,vode:adams,1e-05,1e-05,313,30501,97.44728434504792,0.000827727431897074,1,0.0004971231101080775,1,247.77,0,1e-07,NVIDIA GeForce RTX 3090
mnist,0,1,vode:adams,0.001,0.001,61,1946,31.901639344262296,0.009787948802113533,1,0.01854972541332245,0,17.35,0,1e-07,NVIDIA GeForce RTX 3090
mnist,1,1,vode:adams,1e-05,1e-05,335,40550,121.04477611940298,0.001445188419893384,1,0.0012878966517746449,1,328.84,0,1e-07,NVIDIA GeForce RTX 3090
mnist,1,1,vode:adams,0.001,0.001,70,2725,38.92857142857143,0.03407567739486694,0,0.02417094074189663,0,22.86,0,1e-07,NVIDIA GeForce RTX 3090
mnist,2,1,vode:adams,1e-05,1e-05,378,41163,108.89682539682539,0.0008309856639243662,1,0.0005963657167740166,1,346.3,0,1e-07,NVIDIA GeForce RTX 3090
mnist,2,1,vode:adams,0.001,0.001,76,2622,34.5,0.015025019645690918,0,0.011544943787157536,0,23.12,0,1e-07,NVIDIA GeForce RTX 3090
